MIX,PSNR,SSIM,loss,mean_absolute_error,mean_squared_error,val_MIX,val_PSNR,val_SSIM,val_loss,val_mean_absolute_error,val_mean_squared_error
0.427472,16.3307,0.520428,0.153949,0.153949,0.0387647,0.283995,23.5052,0.672078,0.0533811,0.0533811,0.00610529
0.272023,23.6823,0.686062,0.0519718,0.0519718,0.0058915,0.270413,23.6472,0.688172,0.0529823,0.0529823,0.00571505
0.263077,24.0554,0.696336,0.0499973,0.0499973,0.00555061,0.260796,24.0913,0.699113,0.0503205,0.0503205,0.00540423
0.256108,24.2431,0.704467,0.0491261,0.0491261,0.00539586,0.252029,24.4936,0.70908,0.0478524,0.0478524,0.00532445
0.25049,24.4019,0.710999,0.0483102,0.0483102,0.00526531,0.247017,24.7316,0.714853,0.04683,0.04683,0.00507067
0.245681,24.539,0.716589,0.0476035,0.0476035,0.00518602,0.241921,24.3623,0.721307,0.0488708,0.0488708,0.00558416
0.242016,24.6718,0.720814,0.0468735,0.0468735,0.00507759,0.237627,24.8667,0.725891,0.0460971,0.0460971,0.00494225
0.239142,24.7412,0.724169,0.0465221,0.0465221,0.00504115,0.23578,25.0446,0.727952,0.0453692,0.0453692,0.00488391
0.236973,24.8283,0.726667,0.0460827,0.0460827,0.005008,0.232988,24.9433,0.731333,0.0456758,0.0456758,0.00507855
0.235119,24.8654,0.728847,0.0459405,0.0459405,0.00497581,0.231148,25.0963,0.733408,0.045069,0.045069,0.00494649
0.233582,24.8983,0.730643,0.0457634,0.0457634,0.00496019,0.229918,25.1325,0.734839,0.0448969,0.0448969,0.00489125
0.232444,24.8733,0.732045,0.0460113,0.0460113,0.00498428,0.230048,25.1171,0.734717,0.0450604,0.0450604,0.00499809
0.231598,24.928,0.733002,0.0457441,0.0457441,0.00495208,0.228397,25.2195,0.736601,0.0446369,0.0446369,0.00487645
0.230614,25.0121,0.734098,0.0453512,0.0453512,0.00492419,0.226174,25.0964,0.739336,0.0451045,0.0451045,0.0049766
0.22972,24.9279,0.735283,0.0459901,0.0459901,0.00498665,0.226504,25.2309,0.738843,0.0445779,0.0445779,0.00494015
0.229023,24.9914,0.736013,0.0454599,0.0454599,0.00491853,0.225616,25.3375,0.739831,0.044211,0.044211,0.0048049
0.228323,25.0674,0.736789,0.0451578,0.0451578,0.00490142,0.225797,25.3657,0.739625,0.0442628,0.0442628,0.00481957
