MIX,PSNR,SSIM,loss,mean_absolute_error,mean_squared_error,val_MIX,val_PSNR,val_SSIM,val_loss,val_mean_absolute_error,val_mean_squared_error
0.36379,16.1379,0.598616,0.401384,0.166424,0.0461236,0.22582,23.1366,0.741771,0.258229,0.0556682,0.00693344
0.225465,23.3909,0.741834,0.258166,0.0537877,0.00633736,0.220037,23.9973,0.747593,0.252407,0.0500936,0.00572693
0.223085,23.6918,0.744328,0.255672,0.0520019,0.00599263,0.218955,23.711,0.749272,0.250728,0.0521508,0.00602712
0.221845,23.7244,0.745784,0.254216,0.0518975,0.0059679,0.217299,24.2596,0.750653,0.249347,0.0490512,0.0053958
0.220742,23.8858,0.746934,0.253066,0.0510438,0.00580889,0.216084,24.2868,0.75208,0.24792,0.0489459,0.00545553
0.219719,23.9926,0.748048,0.251952,0.0504984,0.00572305,0.215387,24.3021,0.752916,0.247084,0.0489789,0.00544375
0.219724,23.9241,0.748198,0.251802,0.0513181,0.00586941,0.215403,23.9072,0.753391,0.246609,0.0515697,0.00599765
0.218876,24.062,0.749026,0.250974,0.0503615,0.00570702,0.214654,24.5043,0.753599,0.246401,0.0479809,0.00524915
0.218478,24.127,0.749411,0.250589,0.0498947,0.00563239,0.214551,24.2383,0.754041,0.245959,0.0496617,0.0056396
0.218532,24.101,0.749383,0.250616,0.0500917,0.00566183,0.216193,23.3724,0.753196,0.246804,0.0554826,0.00682293
0.218503,24.0927,0.749417,0.250583,0.0500856,0.00567999,0.214134,24.4252,0.754313,0.245687,0.0484832,0.00546911
0.218125,24.1865,0.74977,0.25023,0.0495728,0.00556764,0.214985,23.8285,0.754022,0.245978,0.0522709,0.00607154
0.218406,24.09,0.749561,0.250439,0.0502353,0.00570843,0.214488,24.0802,0.754339,0.245661,0.0508292,0.00585764
0.218549,24.0363,0.749467,0.250533,0.0506326,0.00575,0.215321,23.6954,0.753808,0.246192,0.0532472,0.00642624
0.217935,24.1809,0.750012,0.249988,0.0496573,0.00555963,0.216346,23.2952,0.753093,0.246907,0.0559002,0.00698554
0.218435,24.0679,0.749563,0.250437,0.0504239,0.00571693,0.213855,24.6388,0.754435,0.245565,0.0473771,0.00522633
0.218113,24.1629,0.749848,0.250152,0.0499053,0.00561712,0.213854,24.5203,0.754562,0.245438,0.0480357,0.00540277
0.218606,23.9893,0.749515,0.250485,0.0512443,0.00580458,0.214287,24.1854,0.754409,0.245591,0.0499413,0.00560069
0.218642,24.0225,0.749415,0.250585,0.0509377,0.00581063,0.21401,24.5342,0.754392,0.245608,0.0481184,0.00523725
0.218059,24.1613,0.749904,0.250096,0.049865,0.00559284,0.21387,24.5133,0.754567,0.245433,0.0481629,0.00547191
0.218146,24.1365,0.749843,0.250157,0.0500896,0.00566599,0.213964,24.2889,0.754716,0.245284,0.0495342,0.00564876
0.217781,24.2231,0.750171,0.249829,0.049528,0.00557448,0.215486,23.5926,0.753729,0.246271,0.0538654,0.00658419
0.218197,24.1437,0.749784,0.250216,0.050095,0.00567915,0.214976,24.1076,0.753738,0.246262,0.0507236,0.00557483
0.217956,24.2309,0.749946,0.250054,0.0494386,0.00553964,0.214751,24.1144,0.753987,0.246013,0.0506269,0.00561907
0.218019,24.1769,0.749937,0.250063,0.0497863,0.00562495,0.214035,24.2321,0.754714,0.245286,0.0499674,0.0056756
0.217953,24.1683,0.750023,0.249977,0.0498251,0.00561312,0.213731,24.4206,0.754826,0.245174,0.048658,0.00548569
0.218156,24.1349,0.749826,0.250174,0.0500607,0.0056578,0.21407,24.9549,0.753902,0.246098,0.0459192,0.00494094
0.218211,24.1124,0.749786,0.250214,0.0501983,0.00566759,0.214323,24.0752,0.754544,0.245456,0.0508797,0.00576536
0.218025,24.1611,0.749943,0.250057,0.0498583,0.00561202,0.214764,23.8325,0.754295,0.245705,0.0523261,0.00625474
0.217865,24.1934,0.750103,0.249897,0.0496983,0.00558255,0.213961,24.5036,0.75451,0.24549,0.0484354,0.00528088
0.218168,24.1037,0.749861,0.250139,0.0503219,0.0057108,0.214023,24.8328,0.754089,0.245912,0.0466069,0.00499006
0.217896,24.1961,0.750075,0.249925,0.0497461,0.00557424,0.213952,24.5373,0.754447,0.245553,0.0480426,0.00523174
0.217982,24.181,0.749983,0.250017,0.0497956,0.00560379,0.21388,24.286,0.754805,0.245195,0.0494758,0.00554954
0.217919,24.1676,0.750081,0.249919,0.0499192,0.00564497,0.213857,24.7525,0.75434,0.24566,0.0468915,0.00505406
0.217961,24.1764,0.750032,0.249968,0.0499243,0.00563573,0.213747,24.3369,0.754916,0.245084,0.0492291,0.00560462
0.21776,24.2022,0.750224,0.249776,0.0496759,0.0055745,0.214005,24.5473,0.754399,0.245601,0.0481246,0.00517741
0.217863,24.2002,0.750111,0.249889,0.0497277,0.00559076,0.21372,24.355,0.754935,0.245065,0.0491621,0.00556932
0.218292,24.0539,0.749793,0.250207,0.0507384,0.00577749,0.214662,23.9162,0.754328,0.245672,0.0518617,0.00613301
0.217771,24.2451,0.750154,0.249846,0.0493775,0.00553311,0.214197,24.488,0.754241,0.245759,0.0484965,0.00521657
0.218053,24.1395,0.749959,0.250041,0.0501166,0.0056552,0.21505,23.6522,0.754204,0.245796,0.0536314,0.00645536
0.217964,24.14,0.750068,0.249932,0.0501344,0.00563684,0.213623,24.7722,0.754611,0.245388,0.0468525,0.00507742
0.2179,24.1776,0.750094,0.249906,0.0498721,0.00562204,0.213889,24.5392,0.754487,0.245513,0.0478631,0.00522203
0.217771,24.1937,0.750207,0.249793,0.0496593,0.00556583,0.21436,24.6935,0.753865,0.246135,0.0475451,0.00502039
