MIX,PSNR,SSIM,loss,mean_absolute_error,mean_squared_error,val_MIX,val_PSNR,val_SSIM,val_loss,val_mean_absolute_error,val_mean_squared_error
0.101014,25.9529,0.887905,0.00392863,0.0428374,0.00392863,0.0795025,26.9493,0.912264,0.0023867,0.0362747,0.0023867
0.0781304,27.0702,0.9138,0.00232444,0.0357659,0.00232444,0.0757642,27.2432,0.916497,0.00225124,0.0351344,0.00225124
0.0759899,27.2028,0.916254,0.00226174,0.0352723,0.00226174,0.0743979,27.3206,0.918069,0.00220523,0.0348514,0.00220523
0.0752691,27.27,0.917066,0.00223327,0.0350259,0.00223327,0.0737301,27.3314,0.91886,0.00218947,0.0348274,0.00218947
0.074835,27.3142,0.917549,0.0022148,0.0348533,0.0022148,0.0733158,27.4321,0.919268,0.00217048,0.0343806,0.00217048
0.0745587,27.3498,0.917853,0.00220146,0.0347192,0.00220146,0.0736902,27.3358,0.91891,0.0021891,0.0348398,0.0021891
0.074407,27.3711,0.918018,0.00219341,0.0346407,0.00219341,0.0731361,27.4807,0.919449,0.00215645,0.0342069,0.00215645
0.0742414,27.3899,0.918203,0.00218672,0.0345731,0.00218672,0.0729528,27.4768,0.919675,0.00214831,0.0342478,0.00214831
0.074158,27.4027,0.918294,0.00218219,0.0345288,0.00218219,0.0727637,27.4525,0.919922,0.00214528,0.0343642,0.00214528
0.0740387,27.4109,0.91843,0.00217876,0.0344968,0.00217876,0.0728737,27.5005,0.919756,0.00213908,0.0341772,0.00213908
0.0740072,27.4192,0.918462,0.00217584,0.0344687,0.00217584,0.0727495,27.4797,0.919921,0.00214099,0.0342696,0.00214099
0.0739342,27.4221,0.918546,0.00217441,0.0344566,0.00217441,0.0727085,27.5182,0.919934,0.00213777,0.0340811,0.00213777
0.0739066,27.4306,0.918573,0.00217192,0.0344263,0.00217192,0.0727773,27.4685,0.919901,0.00214144,0.0343399,0.00214144
0.0738491,27.435,0.918638,0.00216993,0.0344061,0.00216993,0.0726913,27.5239,0.91995,0.00214418,0.0340585,0.00214418
0.0738426,27.4393,0.918643,0.00216872,0.0343917,0.00216872,0.0724054,27.5061,0.920307,0.00213148,0.0341475,0.00213148
0.0737923,27.4412,0.918701,0.0021676,0.0343839,0.0021676,0.0727865,27.5473,0.919825,0.0021327,0.0339968,0.0021327
0.0737851,27.4456,0.918707,0.00216637,0.0343685,0.00216637,0.0725316,27.4851,0.920179,0.002133,0.0342645,0.002133
0.0737687,27.4475,0.918725,0.00216537,0.0343619,0.00216537,0.0725272,27.5341,0.920139,0.00213546,0.0340229,0.00213546
0.0737651,27.4519,0.918727,0.00216424,0.0343464,0.00216424,0.072332,27.5355,0.920369,0.00212904,0.0340147,0.00212904
0.0736637,27.4529,0.918846,0.00216305,0.0343385,0.00216305,0.0727908,27.5564,0.919811,0.00213528,0.0339488,0.00213528
0.0737251,27.457,0.91877,0.00216271,0.0343271,0.00216271,0.0724091,27.5239,0.920292,0.00212682,0.0340877,0.00212682
0.0737104,27.4586,0.918787,0.00216194,0.0343212,0.00216194,0.0724073,27.4365,0.920369,0.00213808,0.0344835,0.00213808
0.0736467,27.4586,0.918862,0.0021611,0.0343169,0.0021611,0.0724037,27.5117,0.920309,0.00212919,0.0341449,0.00212919
0.073649,27.4612,0.918858,0.00216072,0.034312,0.00216072,0.0726644,27.5645,0.919957,0.00212681,0.0339296,0.00212681
0.0736505,27.4639,0.918854,0.00216007,0.0343035,0.00216007,0.0725244,27.5528,0.920132,0.00212643,0.0339703,0.00212643
0.0736639,27.4658,0.918836,0.00215919,0.0342917,0.00215919,0.0720815,27.518,0.920683,0.00212431,0.0340942,0.00212431
0.0735917,27.4652,0.918923,0.00215899,0.0342934,0.00215899,0.0724273,27.5329,0.920262,0.00212574,0.0340468,0.00212574
0.0736086,27.4678,0.918902,0.00215863,0.0342874,0.00215863,0.0722994,27.5516,0.920399,0.0021229,0.0339648,0.0021229
0.0735857,27.468,0.918928,0.0021579,0.0342836,0.0021579,0.0724374,27.5421,0.920245,0.00212452,0.034021,0.00212452
0.0735778,27.4704,0.918936,0.00215749,0.034276,0.00215749,0.072362,27.4964,0.920374,0.00212835,0.0342241,0.00212835
0.0735491,27.4699,0.918971,0.0021573,0.0342784,0.0021573,0.0727416,27.5703,0.919866,0.00212498,0.0339338,0.00212498
0.0735847,27.4721,0.918926,0.00215676,0.0342704,0.00215676,0.0723261,27.5734,0.920351,0.00212191,0.0338795,0.00212191
0.0735521,27.474,0.918964,0.00215611,0.0342628,0.00215611,0.0723471,27.5479,0.920351,0.00212026,0.034014,0.00212026
