MIX,PSNR,SSIM,loss,mean_absolute_error,mean_squared_error,val_MIX,val_PSNR,val_SSIM,val_loss,val_mean_absolute_error,val_mean_squared_error
0.345664,20.1859,0.607355,0.0214171,0.0990133,0.0214171,0.265343,24.0952,0.693545,0.00554452,0.0495051,0.00554452
0.261168,23.8749,0.69881,0.00560603,0.0510535,0.00560604,0.249895,23.0129,0.713831,0.0060777,0.0594567,0.0060777
0.245944,24.1696,0.716649,0.00534541,0.0495573,0.00534541,0.232104,24.5912,0.732726,0.00522658,0.0474625,0.00522658
0.238385,24.3352,0.725484,0.00522354,0.0486948,0.00522354,0.231226,23.9662,0.734809,0.00532261,0.0529076,0.0053226
0.234242,24.4543,0.730333,0.00514372,0.0482625,0.00514372,0.226643,24.4855,0.739535,0.00504341,0.0490764,0.00504341
0.231348,24.6068,0.733641,0.0050566,0.0475406,0.00505659,0.222636,25.0544,0.743591,0.00497677,0.0453263,0.00497677
0.229852,24.6455,0.735383,0.00501909,0.0473328,0.00501909,0.219919,24.6889,0.747209,0.0052651,0.0473425,0.0052651
0.228593,24.6652,0.736881,0.00501976,0.0473301,0.00501976,0.220914,24.9014,0.745909,0.004864,0.0467388,0.004864
0.227695,24.6904,0.737951,0.00502501,0.0473322,0.00502501,0.22109,24.6338,0.74608,0.00495564,0.0487348,0.00495564
0.227281,24.592,0.738538,0.00509248,0.0478318,0.00509248,0.218687,25.1384,0.748291,0.00499921,0.0453211,0.00499921
0.226267,24.7511,0.739605,0.00497897,0.0470934,0.00497897,0.21725,25.2469,0.749897,0.00484294,0.0447741,0.00484294
0.225869,24.8194,0.740018,0.00496266,0.0467746,0.00496266,0.218711,25.2787,0.748193,0.00476008,0.0449573,0.00476008
0.225516,24.8436,0.740416,0.00492662,0.0466599,0.00492662,0.218587,24.9713,0.748687,0.0048207,0.0467787,0.0048207
0.225525,24.8676,0.740424,0.00491616,0.0467598,0.00491616,0.216518,25.22,0.750855,0.00474496,0.0452293,0.00474496
0.224912,24.8938,0.7411,0.00489019,0.0464742,0.00489019,0.217814,25.1275,0.749461,0.00476215,0.0460069,0.00476215
0.225375,24.7846,0.740707,0.00499401,0.0473036,0.00499401,0.220277,24.7662,0.746736,0.00528346,0.0470907,0.00528346
0.22469,24.9788,0.741292,0.00486325,0.0460928,0.00486325,0.21928,25.4791,0.747361,0.00481348,0.044148,0.00481348
0.224578,25.0178,0.741397,0.00483344,0.045947,0.00483344,0.21641,25.0211,0.751208,0.00478634,0.0464009,0.00478634
0.224835,24.9255,0.741181,0.00487686,0.0464203,0.00487686,0.218901,24.9246,0.748445,0.00498286,0.047465,0.00498286
