MIX,PSNR,SSIM,loss,mean_absolute_error,mean_squared_error,val_MIX,val_PSNR,val_SSIM,val_loss,val_mean_absolute_error,val_mean_squared_error
0.335327,20.3057,0.619081,0.0203735,0.0959698,0.0203735,0.278928,20.8593,0.682963,0.00924318,0.0788573,0.00922746
0.26155,23.4584,0.698898,0.00603245,0.0539043,0.00603245,0.251958,24.2732,0.709271,0.00530623,0.0484079,0.00527134
0.251844,23.9344,0.709897,0.00555546,0.0509863,0.00555546,0.242274,24.5292,0.720517,0.00507701,0.0469275,0.00504196
0.245481,24.0551,0.717398,0.00554375,0.0505973,0.00554375,0.23853,24.735,0.724833,0.00492567,0.0461836,0.00489131
0.239301,24.3512,0.724385,0.00519616,0.048656,0.00519616,0.232859,24.8003,0.731495,0.00491525,0.0457174,0.00488062
0.235694,24.3843,0.728679,0.00520215,0.0486505,0.00520215,0.230106,24.8774,0.734693,0.00494672,0.0452994,0.00491121
0.232373,24.5264,0.732516,0.00511559,0.0480397,0.0051156,0.228467,24.5544,0.737262,0.00490685,0.048546,0.00487471
0.23055,24.5027,0.734762,0.00517555,0.0484368,0.00517555,0.226786,25.0742,0.73853,0.00491547,0.0446938,0.00488015
0.228719,24.5591,0.736878,0.00510999,0.0481016,0.00510999,0.223995,24.9378,0.742094,0.00473945,0.0459621,0.00470546
0.227072,24.8089,0.738556,0.00494836,0.0466181,0.00494836,0.221954,25.1138,0.744294,0.00473785,0.0447587,0.0047026
0.227259,24.6395,0.738581,0.0050888,0.0479197,0.0050888,0.221719,24.8131,0.744978,0.00476686,0.0468771,0.00473235
0.226186,24.7538,0.739733,0.0049873,0.0472665,0.00498731,0.221401,25.0058,0.745164,0.0046828,0.0458641,0.00464909
0.225426,24.8874,0.740505,0.00491641,0.0465627,0.00491641,0.221725,25.3225,0.744412,0.00473862,0.0439442,0.00470299
