MIX,PSNR,SSIM,loss,mean_absolute_error,mean_squared_error,val_MIX,val_PSNR,val_SSIM,val_loss,val_mean_absolute_error,val_mean_squared_error
0.199762,18.26,0.783685,0.216315,0.112858,0.0263895,0.0849943,22.4802,0.908965,0.0910347,0.0532822,0.00636548
0.0798921,23.0592,0.914456,0.0855439,0.0502203,0.00559867,0.0749112,23.4662,0.920102,0.0798985,0.048728,0.00518124
0.074463,23.7952,0.920257,0.0797427,0.0467448,0.004734,0.0718654,24.0809,0.92316,0.0768394,0.045752,0.00446574
0.0723841,24.2039,0.922426,0.0775739,0.0451377,0.00430635,0.0709969,24.2448,0.924223,0.075777,0.0459017,0.00420874
0.0713532,24.4068,0.923537,0.0764633,0.0445254,0.00410617,0.0696815,24.512,0.925487,0.0745126,0.0443185,0.00410165
0.0704976,24.6183,0.924377,0.075623,0.0435892,0.00391999,0.0689638,24.7702,0.926101,0.0738987,0.0430554,0.00384312
0.0700198,24.7663,0.924832,0.0751679,0.0429923,0.00378931,0.0686119,24.9417,0.926395,0.0736054,0.0423957,0.00369819
0.069711,24.8957,0.925105,0.0748952,0.0424936,0.00368086,0.0684353,24.9719,0.926619,0.0733812,0.042469,0.00363792
0.0697825,24.9128,0.925056,0.074944,0.0426842,0.0036525,0.068475,25.0697,0.926527,0.0734728,0.0422367,0.0035765
0.0693906,25.0638,0.92538,0.0746202,0.0419352,0.00353757,0.0680059,25.162,0.926982,0.0730175,0.0416949,0.00350646
0.0693515,25.1087,0.925415,0.0745854,0.0418737,0.00349412,0.0684313,25.1173,0.92659,0.0734105,0.0422907,0.00348069
0.0691848,25.1851,0.925561,0.0744392,0.0415992,0.00343567,0.0683502,25.1128,0.92672,0.0732795,0.0424711,0.003454
0.0691844,25.2179,0.925557,0.074443,0.0415767,0.00340585,0.0678272,25.3831,0.927048,0.0729518,0.040923,0.00333414
0.0690664,25.3046,0.925626,0.074374,0.0412018,0.00334554,0.0686031,25.0978,0.926482,0.0735183,0.0427979,0.00343949
0.0690157,25.3412,0.925676,0.0743235,0.0411499,0.00331439,0.067715,25.4236,0.927186,0.0728145,0.040943,0.00333401
0.0690339,25.3519,0.925675,0.074325,0.0412554,0.00330118,0.0679379,25.3461,0.92699,0.07301,0.0413089,0.00336391
0.0689705,25.4242,0.925694,0.0743057,0.0409609,0.00325248,0.0678567,25.5304,0.927005,0.0729946,0.0408825,0.0032003
0.0689174,25.4665,0.925737,0.0742626,0.0408547,0.00321991,0.0676682,25.5233,0.927234,0.0727659,0.0409053,0.00321168
0.0687974,25.5394,0.925828,0.0741724,0.0405784,0.00317242,0.0674827,25.6343,0.927324,0.0726755,0.0402207,0.00316752
0.0687627,25.5929,0.925831,0.0741692,0.0403789,0.00313588,0.0676214,25.6575,0.927193,0.072807,0.0403971,0.00313827
0.0688538,25.585,0.925759,0.0742412,0.0405698,0.00313606,0.0680521,25.5834,0.926812,0.073188,0.0410887,0.00309924
0.0686508,25.6774,0.925919,0.0740808,0.0401435,0.00307997,0.0674265,25.7719,0.927339,0.0726605,0.0399481,0.00305954
0.068654,25.7249,0.925888,0.0741121,0.0399986,0.00304849,0.0674596,25.7793,0.927286,0.0727137,0.0398758,0.00305816
0.0686027,25.766,0.925925,0.0740758,0.0398689,0.00302081,0.0674692,25.8256,0.927296,0.0727039,0.0399873,0.00297361
0.0685736,25.83,0.925915,0.0740854,0.0396363,0.00298174,0.0678858,25.6153,0.926995,0.0730047,0.0410117,0.00308431
0.068521,25.8612,0.925965,0.0740355,0.0395701,0.00295791,0.067467,25.8858,0.927242,0.0727576,0.0396914,0.00299289
0.068475,25.9089,0.925989,0.074011,0.0394113,0.0029316,0.0673526,26.011,0.927309,0.072691,0.0393265,0.00286946
0.068449,25.941,0.926008,0.0739923,0.0393467,0.00291002,0.0675059,26.0134,0.927103,0.0728968,0.039204,0.00292516
0.068432,25.9801,0.926005,0.0739949,0.0392267,0.00288557,0.0672032,26.0733,0.927442,0.0725574,0.0390938,0.00285005
0.0685069,25.9828,0.92593,0.0740697,0.0393022,0.00288162,0.067401,26.0721,0.927176,0.0728237,0.0389319,0.00290454
0.0685504,25.9939,0.925883,0.0741168,0.0393266,0.00287286,0.0673805,26.0999,0.927214,0.0727858,0.039003,0.00286527
0.0684313,26.0709,0.92596,0.0740404,0.0389835,0.00283248,0.0671188,26.1594,0.927483,0.0725169,0.0387788,0.0027975
0.0683674,26.1278,0.925991,0.0740086,0.0387511,0.00279942,0.0673336,26.1047,0.927304,0.0726956,0.0391834,0.0028555
0.0683107,26.1503,0.926051,0.0739493,0.0387081,0.00278452,0.0674104,26.222,0.927137,0.0728626,0.0387866,0.00274287
0.0683616,26.1765,0.925978,0.0740223,0.0386431,0.00276796,0.0670869,26.256,0.927465,0.0725353,0.0384829,0.00274198
0.0683986,26.1915,0.92593,0.0740699,0.0386243,0.00275805,0.0670225,26.3142,0.927511,0.0724892,0.0383224,0.00269409
0.0682291,26.2558,0.926082,0.0739177,0.0383639,0.00272242,0.068017,26.1423,0.926503,0.0734971,0.0392465,0.00282903
0.0682629,26.2699,0.926037,0.0739622,0.0383415,0.00271408,0.0670026,26.3269,0.927524,0.0724761,0.0382666,0.00271241
0.0681577,26.3271,0.92612,0.0738802,0.0381145,0.00268388,0.066987,26.3414,0.927547,0.0724532,0.0382897,0.00269805
0.0682554,26.3135,0.92603,0.0739699,0.0382542,0.00268759,0.06711,26.3634,0.927379,0.0726205,0.0381798,0.00268313
0.0682305,26.355,0.926027,0.0739729,0.0380827,0.0026667,0.0672883,26.2566,0.927286,0.072714,0.0388031,0.00270726
0.0681665,26.3882,0.926083,0.0739166,0.0379787,0.00264881,0.0670127,26.4797,0.9274,0.0726004,0.0376773,0.00262598
0.0682201,26.3874,0.926027,0.0739726,0.0380195,0.00264747,0.0670416,26.396,0.927452,0.0725477,0.0381344,0.00268103
0.0681026,26.4458,0.926119,0.0738808,0.0377669,0.00261898,0.0670466,26.4385,0.927438,0.0725621,0.0380902,0.00261284
0.0682516,26.4157,0.925979,0.0740206,0.0379643,0.00263062,0.0673507,26.3604,0.927147,0.0728528,0.0384645,0.00266024
0.0681351,26.4797,0.926064,0.0739363,0.0376788,0.00260023,0.0672211,26.3711,0.927284,0.0727157,0.0383745,0.00263624
0.0681004,26.4889,0.926103,0.0738965,0.037671,0.00259112,0.0673366,26.3166,0.927198,0.0728023,0.0386416,0.00266784
0.0680549,26.5282,0.92613,0.0738702,0.0375242,0.0025735,0.0668753,26.5404,0.927545,0.072455,0.0375814,0.00260482
0.0680393,26.5543,0.926128,0.073872,0.0374171,0.00255951,0.0673164,26.5342,0.92706,0.0729401,0.037792,0.00258207
0.0681666,26.5428,0.925994,0.0740059,0.03751,0.0025648,0.0671183,26.5392,0.927281,0.0727187,0.037716,0.00255705
