MIX,PSNR,SSIM,loss,mean_absolute_error,mean_squared_error,val_MIX,val_PSNR,val_SSIM,val_loss,val_mean_absolute_error,val_mean_squared_error
0.247053,20.2516,0.72272,0.016011,0.0883594,0.016011,0.119776,23.5942,0.867164,0.00479921,0.0512093,0.00479921
0.102039,24.3591,0.887468,0.00403196,0.0469476,0.00403196,0.0923345,24.8919,0.898542,0.00356471,0.0444335,0.00356471
0.0868717,25.3657,0.904641,0.00322606,0.0423148,0.00322606,0.0829398,25.7896,0.909012,0.00295394,0.0406868,0.00295394
0.0803182,26.0929,0.911899,0.00275982,0.0394575,0.00275982,0.0786815,26.4207,0.913625,0.00257632,0.0382906,0.00257632
0.0770048,26.6235,0.915446,0.00247415,0.0373694,0.00247415,0.0761989,26.7945,0.916303,0.00240246,0.0368327,0.00240246
0.0753142,26.8457,0.917298,0.00236489,0.0365301,0.00236489,0.0747425,26.9441,0.917933,0.00232095,0.0362912,0.00232095
0.0739757,27.0311,0.918749,0.00227857,0.0357825,0.00227857,0.0740555,27.073,0.918649,0.00227909,0.035756,0.00227909
0.0731813,27.1135,0.919642,0.00224238,0.0355054,0.00224238,0.073045,27.0844,0.91986,0.00224043,0.0357958,0.00224043
0.0725408,27.1666,0.920371,0.00221619,0.0353298,0.00221619,0.0729013,27.1535,0.919989,0.00223014,0.035575,0.00223014
0.0720345,27.2466,0.92092,0.00218323,0.0350435,0.00218323,0.0721989,27.2255,0.920753,0.0021904,0.0351954,0.0021904
0.07162,27.2914,0.921381,0.00216251,0.0348738,0.00216251,0.0720452,27.2447,0.920938,0.00218997,0.0352068,0.00218997
0.0712646,27.3383,0.921774,0.00214281,0.0347163,0.00214281,0.071857,27.4146,0.92104,0.00215015,0.034569,0.00215015
0.0710258,27.3646,0.922041,0.00213091,0.0346267,0.00213091,0.0718168,27.2648,0.921202,0.00216506,0.0351655,0.00216506
0.070866,27.3769,0.922227,0.0021247,0.0346012,0.0021247,0.0717019,27.3215,0.921299,0.00217331,0.034959,0.00217331
0.0707071,27.3948,0.922404,0.00211742,0.0345415,0.00211742,0.0707553,27.4308,0.922339,0.00210101,0.0344988,0.00210101
0.0705077,27.4426,0.922607,0.002098,0.0343616,0.002098,0.0705942,27.4588,0.922508,0.00209569,0.0343829,0.00209569
0.0703589,27.4751,0.922761,0.00208421,0.0342388,0.00208421,0.0710209,27.4846,0.921995,0.00208368,0.0343563,0.00208368
0.0702429,27.5023,0.922881,0.00207278,0.0341445,0.00207278,0.071064,27.3987,0.922008,0.00212074,0.0346911,0.00212074
0.0701521,27.5097,0.922985,0.0020707,0.0341243,0.0020707,0.0707542,27.4608,0.922333,0.00208046,0.0344607,0.00208046
0.0700437,27.523,0.923105,0.00206411,0.0340748,0.00206411,0.0706169,27.2788,0.922639,0.00213034,0.0352102,0.00213034
0.0699226,27.5406,0.923238,0.00205602,0.0340169,0.00205602,0.0720469,27.4731,0.920796,0.00214813,0.0344719,0.00214813
