MIX,PSNR,SSIM,loss,mean_absolute_error,mean_squared_error,val_MIX,val_PSNR,val_SSIM,val_loss,val_mean_absolute_error,val_mean_squared_error
0.138404,22.7161,0.847932,-2.13475,0.0666689,0.0100109,0.0758024,25.9953,0.917272,-2.52507,0.039445,0.00286527
0.0743018,26.6443,0.918665,-2.59123,0.0373778,0.00251883,0.0717987,27.1707,0.921215,-2.64616,0.0351204,0.00224425
0.0719089,27.1931,0.921126,-2.64832,0.0353419,0.00225431,0.070722,27.3544,0.922387,-2.66559,0.034544,0.00214457
0.0708616,27.421,0.922205,-2.67208,0.0344633,0.00215959,0.0692236,27.4488,0.924095,-2.67656,0.0341453,0.00210995
0.0704157,27.4632,0.922711,-2.67676,0.0343324,0.00213706,0.0705989,27.463,0.92247,-2.67652,0.0342097,0.00212106
0.0702611,27.4914,0.92288,-2.67973,0.0342522,0.00212471,0.0688576,27.0646,0.924867,-2.63884,0.0359129,0.00220161
0.0697848,27.5114,0.923433,-2.68223,0.03418,0.00211383,0.0691289,27.4454,0.924235,-2.67635,0.0342902,0.00208186
0.0695734,27.5392,0.923667,-2.68522,0.0340873,0.00209968,0.0692856,27.4657,0.924037,-2.67821,0.0342297,0.00210836
0.0696207,27.5683,0.923592,-2.68806,0.033986,0.00209413,0.069391,27.5051,0.923896,-2.68202,0.0341471,0.00214341
0.0692999,27.6112,0.923943,-2.69267,0.0338227,0.00207663,0.0693479,27.464,0.923968,-2.67797,0.034256,0.00208288
0.0692097,27.6434,0.924025,-2.69596,0.0336902,0.002064,0.0698593,27.4001,0.923404,-2.67107,0.0344943,0.0021168
0.0692088,27.6188,0.924047,-2.69352,0.0338027,0.00207071,0.0696463,27.5467,0.923552,-2.68586,0.0339396,0.00214113
0.0691263,27.6722,0.924106,-2.69892,0.0335947,0.00205522,0.0676972,27.5522,0.92586,-2.68849,0.0338699,0.00204319
0.0690979,27.6433,0.924163,-2.69608,0.0337182,0.00206208,0.0678136,27.536,0.925736,-2.68676,0.0339483,0.00208374
0.0690106,27.6694,0.924248,-2.69877,0.0336182,0.002053,0.0678273,27.5756,0.925687,-2.69068,0.0337748,0.00206703
0.0689043,27.619,0.924413,-2.69388,0.0338217,0.00206991,0.0693848,27.5611,0.92386,-2.68759,0.0339225,0.00212743
0.068994,27.6538,0.924282,-2.69723,0.0336937,0.00205756,0.0689605,27.3575,0.924529,-2.66783,0.0347798,0.00213811
0.0689874,27.667,0.924278,-2.69855,0.0336301,0.00205472,0.0692256,27.6884,0.923945,-2.70039,0.0333705,0.00203588
0.0689029,27.6513,0.924397,-2.69708,0.0337262,0.00206118,0.0682573,27.6098,0.925155,-2.69362,0.0336744,0.00205761
0.0688231,27.7054,0.924448,-2.70254,0.0334975,0.00204104,0.068607,27.5879,0.924761,-2.69107,0.0337864,0.00208915
0.0687492,27.7186,0.924527,-2.70393,0.033449,0.00203664,0.0679567,27.6561,0.925473,-2.69853,0.0334651,0.00203141
0.0688446,27.6884,0.924438,-2.70083,0.0335788,0.00204738,0.0685113,27.6055,0.924865,-2.69293,0.0337394,0.00203772
0.0688018,27.6827,0.924494,-2.70032,0.0336073,0.00204757,0.0692453,27.6388,0.923971,-2.69545,0.0336285,0.00207494
0.0687821,27.7073,0.924498,-2.70277,0.033505,0.00204218,0.068346,27.4991,0.925137,-2.68253,0.0341331,0.00208984
0.0687024,27.6619,0.924632,-2.69836,0.0337062,0.00205512,0.0712342,27.5219,0.921702,-2.68172,0.0341475,0.0021836
0.0688174,27.7038,0.92446,-2.70239,0.0335232,0.00204096,0.0683712,27.6662,0.924983,-2.6991,0.0334793,0.00201195
0.068696,27.7041,0.924605,-2.70255,0.0335247,0.00203995,0.0691872,27.6931,0.923994,-2.7009,0.0333886,0.00203158
0.0687076,27.7455,0.924559,-2.70666,0.0333559,0.00202609,0.0678988,27.6035,0.925584,-2.69337,0.0336828,0.00205295
0.0687059,27.719,0.924584,-2.70403,0.0334809,0.00203537,0.0683733,27.6054,0.925035,-2.69308,0.0337672,0.00203591
0.0687132,27.7256,0.924568,-2.70467,0.0334368,0.00203162,0.0675247,27.5683,0.92606,-2.69028,0.0338428,0.00204053
0.0687261,27.7212,0.924558,-2.70422,0.0334661,0.00203438,0.0681094,27.42,0.925494,-2.67495,0.0345253,0.00208612
0.0685551,27.7235,0.924761,-2.70464,0.0334662,0.00203238,0.0694474,27.6783,0.923691,-2.69915,0.033422,0.00204997
0.0688869,27.728,0.924361,-2.70472,0.0334395,0.00203277,0.0678597,27.6363,0.925621,-2.69669,0.0336309,0.00205989
0.0686238,27.7239,0.92468,-2.70461,0.0334684,0.00203297,0.0685985,27.6393,0.924737,-2.69619,0.0336076,0.00204716
0.0687884,27.7044,0.924498,-2.70249,0.0335412,0.00203757,0.0680771,27.5874,0.92539,-2.69159,0.0337774,0.00207832
0.068727,27.7363,0.924547,-2.70572,0.0334136,0.00202985,0.0676217,27.6029,0.925924,-2.69362,0.0337339,0.00208309
0.0685952,27.734,0.924706,-2.70564,0.0334278,0.00202887,0.06897,27.6234,0.924315,-2.69423,0.0337183,0.00207298
0.0686988,27.7393,0.924578,-2.70605,0.0334042,0.00202702,0.0679255,27.6383,0.925535,-2.69682,0.0335913,0.00203428
0.068627,27.7384,0.924667,-2.70604,0.0334198,0.0020297,0.068144,27.6612,0.925255,-2.69885,0.0334893,0.00203999
0.0686011,27.7311,0.9247,-2.70534,0.03343,0.00202839,0.0692518,27.6192,0.923977,-2.6935,0.0337048,0.00204907
0.0686484,27.7677,0.924615,-2.70893,0.0332818,0.00201597,0.0684789,27.7029,0.924832,-2.70264,0.0333608,0.00205111
0.0685582,27.7385,0.92475,-2.70612,0.0334269,0.00202889,0.0692552,27.6279,0.92398,-2.69437,0.0337372,0.00202757
0.0687056,27.75,0.92456,-2.7071,0.0333477,0.00202144,0.0694708,27.6642,0.923683,-2.69774,0.0335265,0.00205862
0.0685396,27.7469,0.924761,-2.70697,0.0333706,0.00202362,0.0688136,27.6829,0.924447,-2.7003,0.0334307,0.002024
0.0687074,27.7471,0.924562,-2.70681,0.0333719,0.00202271,0.0680251,27.6852,0.925388,-2.70137,0.0334432,0.00202748
0.0685569,27.7455,0.924748,-2.70682,0.0334085,0.00202857,0.0688778,27.6779,0.924367,-2.69972,0.0334106,0.00202449
0.0686897,27.7513,0.924581,-2.70726,0.0333621,0.00202189,0.0683072,27.648,0.925069,-2.69736,0.0335297,0.00203697
0.0687531,27.7495,0.924508,-2.70701,0.0333749,0.00202428,0.0683179,27.7038,0.925022,-2.7029,0.0333515,0.00203941
0.068602,27.7667,0.924676,-2.70887,0.0333102,0.00201886,0.0679069,27.6409,0.925565,-2.6971,0.0336321,0.0020199
0.0685437,27.7597,0.92475,-2.70825,0.0333369,0.00201856,0.0682884,27.6414,0.925109,-2.69674,0.033625,0.00208341
