MIX,PSNR,SSIM,loss,mean_absolute_error,mean_squared_error,val_MIX,val_PSNR,val_SSIM,val_loss,val_mean_absolute_error,val_mean_squared_error
0.332452,19.5295,0.621856,0.0925689,0.0925689,0.0170635,0.243735,21.8394,0.722132,0.0645396,0.0645396,0.0080704
0.231653,22.3139,0.735906,0.0613353,0.0613353,0.00732117,0.232149,22.7885,0.73489,0.0590999,0.0590999,0.00696975
0.225759,23.0239,0.742224,0.0576726,0.0576726,0.00657333,0.227404,23.2192,0.740087,0.056735,0.056735,0.00643021
0.224261,23.4732,0.743567,0.055353,0.055353,0.00618808,0.22662,23.6336,0.740656,0.0548171,0.0548171,0.0061663
0.223493,23.6333,0.74434,0.0546119,0.0546119,0.00607977,0.225197,23.5117,0.742438,0.055279,0.055279,0.00618558
0.222937,23.729,0.744919,0.0541815,0.0541815,0.0060216,0.225615,23.772,0.741728,0.0541653,0.0541653,0.00605161
0.222895,23.7872,0.744932,0.0539873,0.0539873,0.00599815,0.224674,23.7515,0.742871,0.0542834,0.0542834,0.00605953
0.222577,23.8204,0.745284,0.0538518,0.0538518,0.00597446,0.223052,23.8401,0.744679,0.0536438,0.0536438,0.00595426
0.222299,23.8937,0.745551,0.0535121,0.0535121,0.00592934,0.224345,23.8658,0.74317,0.0537961,0.0537961,0.00599556
0.222254,23.9056,0.745603,0.0535059,0.0535059,0.00592534,0.224496,23.8208,0.743042,0.0540736,0.0540736,0.00603404
0.222096,23.9122,0.745788,0.0534847,0.0534847,0.00591858,0.225038,23.9706,0.74227,0.0534067,0.0534067,0.00596302
0.222065,23.9642,0.745782,0.0532637,0.0532637,0.00589349,0.224339,23.9837,0.743099,0.0533891,0.0533891,0.00595001
0.222166,24.0124,0.745623,0.0530583,0.0530583,0.00587239,0.222866,24.0061,0.744804,0.0531312,0.0531312,0.00590157
0.221705,24.011,0.746166,0.053028,0.053028,0.00586153,0.225933,24.1146,0.741124,0.0529858,0.0529858,0.00593993
0.221963,24.027,0.745851,0.0529878,0.0529878,0.00585901,0.226237,24.0768,0.740793,0.0531435,0.0531435,0.00594687
0.221954,24.0347,0.745862,0.052986,0.052986,0.00585798,0.223317,24.0504,0.744232,0.0529518,0.0529518,0.00588424
0.221747,24.0522,0.746089,0.0528846,0.0528846,0.00584636,0.22474,24.0602,0.742572,0.0531265,0.0531265,0.00593518
0.221922,24.0519,0.745882,0.0528965,0.0528965,0.00584744,0.224287,24.1101,0.743074,0.0529336,0.0529336,0.00591199
0.221656,24.0705,0.746181,0.0528053,0.0528053,0.00583364,0.223779,24.0418,0.743701,0.0530474,0.0530474,0.00589701
0.221711,24.052,0.746138,0.0529227,0.0529227,0.00584727,0.224448,24.0977,0.742882,0.0529304,0.0529304,0.00590099
0.221755,24.0987,0.746045,0.0527011,0.0527011,0.00582484,0.22248,24.0356,0.745225,0.0529299,0.0529299,0.00586594
0.221635,24.0768,0.746206,0.0528007,0.0528007,0.00583282,0.224789,24.1719,0.742433,0.052708,0.052708,0.00589902
0.221781,24.0811,0.746033,0.052806,0.052806,0.00583584,0.224705,24.0688,0.742629,0.053206,0.053206,0.00594933
0.22159,24.0971,0.746244,0.0527153,0.0527153,0.00582132,0.224946,24.1431,0.742275,0.0528556,0.0528556,0.0058986
0.221698,24.085,0.746131,0.0527977,0.0527977,0.00583388,0.222924,23.8788,0.744863,0.0538078,0.0538078,0.00596637
0.221647,24.1024,0.746174,0.0527097,0.0527097,0.00582192,0.22322,24.1531,0.744278,0.0525847,0.0525847,0.00584685
0.221457,24.1085,0.746391,0.0526603,0.0526603,0.00581428,0.225253,24.148,0.741893,0.0527702,0.0527702,0.00588381
0.221793,24.1059,0.746003,0.0527205,0.0527205,0.00582408,0.226272,24.172,0.740718,0.0529677,0.0529677,0.00595428
0.221685,24.1268,0.74611,0.0526055,0.0526055,0.00581233,0.22419,24.1566,0.743142,0.0526847,0.0526847,0.00586743
0.221648,24.1142,0.746163,0.0526576,0.0526576,0.00581577,0.224102,24.1274,0.743269,0.0528003,0.0528003,0.00586759
0.22153,24.1394,0.746278,0.0525202,0.0525202,0.00580038,0.228199,24.2713,0.738372,0.0526977,0.0526977,0.00595339
0.221815,24.1161,0.745972,0.0526961,0.0526961,0.00582122,0.22303,24.0691,0.74456,0.0528757,0.0528757,0.00586816
0.221775,24.0878,0.746045,0.0528321,0.0528321,0.00583669,0.220612,24.0102,0.747443,0.0529001,0.0529001,0.005814
0.221691,24.1171,0.746119,0.052692,0.052692,0.00582036,0.222252,23.8549,0.745711,0.0540567,0.0540567,0.00598366
0.221627,24.127,0.746184,0.0526355,0.0526355,0.00581438,0.22152,24.0526,0.746352,0.0528477,0.0528477,0.00582698
0.221667,24.0901,0.746171,0.0528174,0.0528174,0.00583163,0.224377,23.8755,0.743165,0.0539736,0.0539736,0.00601185
0.221698,24.1119,0.746114,0.0527109,0.0527109,0.00582235,0.224599,24.1586,0.742669,0.0527552,0.0527552,0.00586859
0.221598,24.1297,0.746212,0.0526064,0.0526064,0.00580794,0.226234,24.2133,0.740751,0.0529072,0.0529072,0.00594732
0.221628,24.1092,0.746203,0.052741,0.052741,0.00582352,0.223872,24.1582,0.743502,0.0525852,0.0525852,0.00585345
0.221596,24.1433,0.746205,0.0525506,0.0525506,0.00580161,0.22546,24.2193,0.741613,0.0525952,0.0525952,0.0058885
0.22172,24.1598,0.746046,0.0524886,0.0524886,0.00579921,0.222179,24.1218,0.745528,0.0526371,0.0526371,0.00581982
0.221475,24.1613,0.746333,0.052465,0.052465,0.00579225,0.226403,24.2502,0.7405,0.0526437,0.0526437,0.00591413
0.221724,24.1339,0.746065,0.0526215,0.0526215,0.00581253,0.224063,24.1736,0.743278,0.0526045,0.0526045,0.00585365
0.221489,24.1386,0.746335,0.0525596,0.0525596,0.00580235,0.229685,24.234,0.736726,0.0533436,0.0533436,0.00606524
0.221947,24.1525,0.74579,0.0525652,0.0525652,0.00580888,0.223693,24.2016,0.743701,0.052511,0.052511,0.00585143
0.221536,24.1386,0.746283,0.0525881,0.0525881,0.00580552,0.225044,24.1631,0.742172,0.0529282,0.0529282,0.00592297
0.221569,24.1591,0.746227,0.0524973,0.0524973,0.0057968,0.225128,24.2385,0.741988,0.0524864,0.0524864,0.00585688
0.221756,24.1695,0.745997,0.0524564,0.0524564,0.00579243,0.221724,24.0907,0.746075,0.0526687,0.0526687,0.00581162
0.221756,24.1762,0.745992,0.0524323,0.0524323,0.00579212,0.221705,24.0818,0.746109,0.0527273,0.0527273,0.0058155
0.221465,24.1606,0.746346,0.0524771,0.0524771,0.00578985,0.225393,24.1689,0.741761,0.0529487,0.0529487,0.0059275
