MIX,PSNR,SSIM,loss,mean_absolute_error,mean_squared_error,val_MIX,val_PSNR,val_SSIM,val_loss,val_mean_absolute_error,val_mean_squared_error
0.21491,23.7422,0.754339,0.00572965,0.0534646,0.00572965,0.209742,23.7372,0.760522,0.00579505,0.0536259,0.00579505
0.214544,23.8008,0.754698,0.00567106,0.0530637,0.00567106,0.20967,23.7738,0.760578,0.00577719,0.0534698,0.00577719
0.214669,23.7682,0.754584,0.00569315,0.0532467,0.00569315,0.211908,23.8883,0.75786,0.00577345,0.0531898,0.00577345
0.214529,23.8059,0.754709,0.00566646,0.0530238,0.00566646,0.212097,23.9372,0.757612,0.00577774,0.0530655,0.00577774
0.214615,23.8068,0.75461,0.00567004,0.0530435,0.00567004,0.210491,23.7744,0.759619,0.00580122,0.0535659,0.00580122
0.214474,23.7981,0.754785,0.00567125,0.0530789,0.00567125,0.209544,23.6433,0.760836,0.00580563,0.0540428,0.00580563
0.214593,23.7858,0.754658,0.00568324,0.0531614,0.00568324,0.209268,23.6232,0.761188,0.00583824,0.0541607,0.00583824
0.214659,23.7926,0.754574,0.0056805,0.0531288,0.0056805,0.208822,23.5627,0.761778,0.00585925,0.0544738,0.00585925
0.214544,23.7999,0.754701,0.00567195,0.053081,0.00567195,0.208433,23.6354,0.762147,0.0057981,0.053979,0.0057981
0.214478,23.8026,0.754777,0.00566959,0.0530656,0.00566959,0.209011,23.687,0.76141,0.00578074,0.0537196,0.00578074
0.214601,23.7983,0.754635,0.00567276,0.0530912,0.00567276,0.208542,23.6513,0.762001,0.00580199,0.0538926,0.00580199
0.214551,23.7913,0.754697,0.00567584,0.0531043,0.00567584,0.210492,23.8391,0.759566,0.00577144,0.0533,0.00577144
0.214567,23.8037,0.754669,0.00566906,0.0530552,0.00566906,0.209611,23.7354,0.760683,0.00578856,0.053656,0.00578856
0.214354,23.8128,0.75491,0.0056579,0.0529909,0.0056579,0.210407,23.8022,0.759691,0.0057793,0.0534223,0.0057793
0.214489,23.8105,0.754752,0.00566327,0.0530029,0.00566327,0.209288,23.6615,0.761103,0.00579404,0.0538437,0.00579404
0.214615,23.7948,0.754622,0.0056756,0.0531063,0.0056756,0.208372,23.6745,0.762176,0.0057824,0.0537496,0.0057824
0.214551,23.8061,0.754687,0.00566846,0.0530472,0.00566846,0.209496,23.8067,0.760757,0.00575889,0.0533261,0.00575889
