MIX,PSNR,SSIM,loss,mean_absolute_error,mean_squared_error,val_MIX,val_PSNR,val_SSIM,val_loss,val_mean_absolute_error,val_mean_squared_error
0.301914,17.825,0.6622,0.3378,0.113514,0.0251267,0.227483,20.4802,0.74324,0.25676,0.0737821,0.00991939
0.217995,20.7709,0.75392,0.24608,0.0705471,0.00930012,0.216446,21.1142,0.755267,0.244733,0.0679376,0.00873348
0.213297,21.1073,0.759025,0.240975,0.0679877,0.00869641,0.215353,20.8412,0.757063,0.242937,0.0705388,0.00911132
0.211943,21.281,0.760446,0.239554,0.0669879,0.00838245,0.214017,21.0949,0.758324,0.241676,0.0688062,0.00865814
0.211557,21.3721,0.760834,0.239166,0.0666097,0.00822157,0.213006,21.59,0.758834,0.241166,0.0651668,0.00794062
0.210882,21.5199,0.761447,0.238553,0.0656063,0.00797677,0.213748,21.4983,0.758159,0.241841,0.0662594,0.0079894
0.210584,21.5886,0.761729,0.238271,0.0652229,0.00786122,0.212695,21.7416,0.758992,0.241007,0.0640525,0.00776996
0.210429,21.6411,0.76186,0.238139,0.0649489,0.00777782,0.212258,21.8466,0.75939,0.24061,0.0634099,0.00761976
0.21037,21.6741,0.761899,0.238101,0.0647802,0.00772344,0.212321,21.8171,0.759409,0.240591,0.063902,0.007614
0.210474,21.7049,0.761751,0.238249,0.0646571,0.00767666,0.212568,21.631,0.759365,0.240635,0.0652155,0.00786406
0.210266,21.7612,0.76192,0.23808,0.0642449,0.00758951,0.212187,21.6709,0.75978,0.24022,0.065011,0.00778896
0.209974,21.7969,0.762241,0.237759,0.0641004,0.00753361,0.211865,21.8609,0.759918,0.240081,0.0637306,0.00748634
0.209832,21.8525,0.762331,0.237669,0.0636902,0.00745034,0.21202,21.804,0.75982,0.24018,0.0641843,0.007585
0.209796,21.8788,0.76235,0.23765,0.0635638,0.00741162,0.21232,21.7329,0.75959,0.24041,0.0648468,0.0076496
0.209767,21.8978,0.762369,0.23763,0.0634857,0.00738618,0.212015,21.977,0.759578,0.240422,0.062876,0.00736761
0.209892,21.912,0.762212,0.237788,0.0634357,0.0073607,0.211757,22.0433,0.759821,0.240179,0.0625404,0.00729619
0.209741,21.9336,0.762369,0.237631,0.0633146,0.00733033,0.211827,22.0519,0.759734,0.240266,0.0625264,0.0072594
0.20948,22.0007,0.762586,0.237414,0.0628269,0.0072367,0.213211,21.333,0.759144,0.240856,0.0680738,0.00819822
0.209377,22.0303,0.762679,0.237321,0.0626706,0.00719371,0.211774,21.8516,0.760122,0.239879,0.0642224,0.00744465
0.209667,22.02,0.762366,0.237634,0.0628381,0.00721476,0.212146,21.7619,0.759742,0.240258,0.064554,0.00756877
0.209531,22.0322,0.762517,0.237483,0.0627796,0.00719249,0.21169,21.8075,0.760255,0.239745,0.0643985,0.00751634
0.209759,22.0374,0.762247,0.237753,0.0627895,0.00719336,0.211293,22.2898,0.7601,0.2399,0.0611013,0.00697273
0.209456,22.0867,0.762536,0.237464,0.0624128,0.00712092,0.211689,21.8988,0.760172,0.239828,0.0639601,0.00740486
0.209439,22.1002,0.762551,0.237449,0.0623859,0.00710383,0.213296,21.4276,0.758881,0.241119,0.0672242,0.00805604
