MIX,PSNR,SSIM,loss,mean_absolute_error,mean_squared_error,val_MIX,val_PSNR,val_SSIM,val_loss,val_mean_absolute_error,val_mean_squared_error
0.357616,19.6361,0.593759,0.0226012,0.102332,0.0226012,0.272274,23.3701,0.685899,0.00616209,0.052681,0.00616209
0.266642,23.222,0.692946,0.00629207,0.0544754,0.00629208,0.256473,23.0685,0.705551,0.00604616,0.0571014,0.00604616
0.254258,23.6434,0.707263,0.00583313,0.0522419,0.00583313,0.248802,23.7317,0.713804,0.005497,0.0524818,0.005497
0.247253,23.9332,0.715278,0.00558199,0.0505444,0.00558199,0.240888,24.0844,0.72258,0.00548439,0.0490919,0.00548439
0.242799,23.9888,0.720558,0.0055154,0.0504245,0.0055154,0.23527,24.2802,0.729071,0.0052115,0.048059,0.0052115
0.23874,24.2117,0.725137,0.00532376,0.049094,0.00532376,0.232672,24.6321,0.731818,0.00494043,0.0462433,0.00494043
0.235799,24.3922,0.728469,0.00520897,0.0482001,0.00520897,0.230616,24.662,0.734258,0.00491921,0.0462021,0.00491921
0.23498,24.2833,0.729645,0.00532311,0.0492627,0.00532311,0.230841,24.3905,0.734467,0.00498933,0.0487111,0.00498933
0.233001,24.3824,0.731887,0.00522248,0.0486662,0.00522248,0.226932,24.8081,0.738521,0.00492786,0.0455572,0.00492786
0.231335,24.5568,0.733678,0.00509017,0.0476554,0.00509017,0.228554,24.7133,0.736835,0.00486008,0.0468447,0.00486008
0.230715,24.56,0.734492,0.005134,0.0480481,0.00513399,0.225798,24.8677,0.739873,0.00488924,0.0455722,0.00488924
0.230669,24.4662,0.734666,0.00521226,0.0486784,0.00521226,0.224136,24.8961,0.741801,0.00486875,0.0453034,0.00486875
0.229177,24.7042,0.736165,0.005037,0.0472243,0.005037,0.227287,24.2951,0.739061,0.00499305,0.0506106,0.00499306
0.228488,24.7803,0.736946,0.00499323,0.0470137,0.00499323,0.224345,24.6822,0.742003,0.00477035,0.0476701,0.00477035
0.228052,24.7892,0.737453,0.00497811,0.0469545,0.00497811,0.22287,24.6583,0.74363,0.00511774,0.0469946,0.00511774
0.22809,24.673,0.737579,0.00507294,0.0478521,0.00507294,0.221099,24.8029,0.745655,0.00474637,0.0465546,0.00474637
0.227185,24.8207,0.738475,0.00494544,0.0469021,0.00494544,0.223821,25.0406,0.742211,0.00463132,0.045489,0.00463132
0.227079,24.8218,0.738625,0.00494824,0.0470265,0.00494824,0.220478,24.7286,0.746449,0.00482641,0.0468497,0.00482641
0.226667,24.8241,0.739092,0.00494025,0.0469024,0.00494025,0.223888,25.1256,0.742107,0.00461642,0.0453624,0.00461642
0.226728,24.8319,0.739051,0.00497854,0.0470672,0.00497854,0.221092,25.2129,0.745251,0.00465788,0.0443942,0.00465788
0.226326,24.8822,0.739492,0.00494601,0.0468705,0.00494601,0.222306,25.2278,0.74385,0.00455606,0.0446289,0.00455605
0.226058,24.9309,0.73974,0.00488915,0.0465014,0.00488915,0.229568,23.8542,0.737168,0.00536051,0.0549311,0.00536051
0.22584,24.9187,0.740036,0.00491042,0.0466895,0.00491042,0.223838,25.0593,0.742291,0.00460979,0.0460154,0.00460979
0.226183,24.8418,0.739693,0.0049531,0.0470296,0.0049531,0.222138,25.3545,0.743908,0.00459094,0.0438818,0.00459094
0.225513,24.9985,0.740346,0.0048663,0.0462709,0.0048663,0.220277,25.1917,0.746244,0.00463332,0.0445144,0.00463332
0.225523,24.9915,0.74036,0.00489355,0.0464075,0.00489355,0.219143,25.2395,0.74755,0.00460891,0.0442814,0.00460892
0.225857,24.9018,0.74005,0.00493734,0.0468674,0.00493734,0.218641,25.3124,0.748089,0.00458585,0.0439767,0.00458585
0.225368,25.0206,0.740487,0.00484665,0.0461054,0.00484665,0.220462,25.2359,0.74609,0.00453981,0.0448599,0.00453981
0.225076,24.9983,0.740846,0.00486643,0.0461676,0.00486643,0.22116,24.9653,0.745613,0.00464589,0.0467152,0.00464589
0.224879,25.1308,0.740965,0.00477553,0.0455597,0.00477553,0.221536,25.1865,0.744794,0.00465127,0.0447725,0.00465127
0.225294,24.9315,0.740671,0.0048957,0.0466094,0.0048957,0.222142,25.2344,0.744108,0.00461749,0.0449535,0.00461749
0.225203,24.9171,0.74082,0.00491977,0.0468204,0.00491978,0.221833,25.4027,0.744267,0.00453161,0.0438597,0.00453161
0.225588,24.9336,0.740336,0.00489621,0.046686,0.0048962,0.222146,25.1124,0.744269,0.0046049,0.0458232,0.0046049
