loss,mean_squared_error,mean_absolute_error,PSNR,SSIM,MIX,val_loss,val_mean_squared_error,val_mean_absolute_error,val_PSNR,val_SSIM,val_MIX
0.315495,0.0343225,0.142944,16.0807,0.651638,0.315495,0.107052,0.00870496,0.0647519,20.9649,0.88489,0.107052
0.0980573,0.00778496,0.0599866,21.4455,0.894692,0.0980573,0.0920291,0.00735835,0.0569909,21.677,0.901297,0.0920291
0.0868886,0.00686186,0.0543766,22.0017,0.906919,0.0868886,0.0831535,0.00642966,0.0523737,22.2771,0.910984,0.0831535
0.0806645,0.00586431,0.0505687,22.6697,0.913603,0.0806645,0.0784859,0.00537799,0.0487359,23.0286,0.915847,0.0784859
0.077212,0.00490579,0.0473199,23.4177,0.917094,0.077212,0.0759346,0.00450049,0.0458522,23.7712,0.918335,0.0759346
0.0754198,0.00423627,0.0449388,24.0444,0.918775,0.0754198,0.0746933,0.00403488,0.0442044,24.2334,0.919499,0.0746933
0.0744218,0.00389097,0.0434455,24.4142,0.919678,0.0744218,0.0739454,0.00380395,0.0430718,24.4997,0.920174,0.0739454
0.0738747,0.00373469,0.0427625,24.5945,0.920199,0.0738747,0.0734655,0.00367611,0.042459,24.6577,0.920628,0.0734655
0.0734704,0.00363372,0.0423065,24.7204,0.920593,0.0734704,0.0731596,0.00361206,0.0422885,24.731,0.92096,0.0731596
0.0731871,0.00356852,0.0420682,24.8084,0.920886,0.0731871,0.0728609,0.00354344,0.0419729,24.8295,0.921256,0.0728609
0.0729153,0.00350913,0.0418134,24.8929,0.921161,0.0729152,0.0725715,0.00346505,0.0414785,24.9589,0.921506,0.0725715
0.0726768,0.00345109,0.0415579,24.9789,0.921396,0.0726768,0.0723455,0.00341264,0.0413047,25.0331,0.921742,0.0723455
0.0724744,0.00340528,0.0413757,25.0516,0.921602,0.0724744,0.0722104,0.00337798,0.0413537,25.0662,0.921912,0.0722104
0.0722632,0.00335652,0.0411469,25.1286,0.92181,0.0722632,0.0720465,0.00335969,0.0411141,25.1432,0.922062,0.0720465
0.0721194,0.00332605,0.0410553,25.1804,0.921963,0.0721194,0.0719339,0.00330005,0.0409148,25.2301,0.922158,0.0719339
