loss,val_loss,mean_absolute_error,binary_crossentropy,categorical_crossentropy
0.0400771,0.0196739,0.135055,0.797083,1.95985
0.0150299,0.011785,0.0821409,0.592385,1.57505
0.00955379,0.00788241,0.0647886,0.574976,1.55738
0.00649494,0.00549891,0.0541226,0.567276,1.55392
0.00466196,0.00412314,0.046802,0.562529,1.55239
0.0036501,0.00339443,0.041882,0.559638,1.55113
0.00312618,0.00301127,0.038689,0.557956,1.54989
0.00284084,0.00279088,0.0365232,0.55692,1.54883
0.00267222,0.00265846,0.0350989,0.556352,1.54815
0.00256729,0.00257084,0.034146,0.555957,1.54768
0.00249551,0.00250785,0.0335303,0.555731,1.54745
0.00244011,0.00245679,0.0330571,0.555495,1.54721
0.00239334,0.0024123,0.032683,0.555307,1.54699
0.00235179,0.00237218,0.032364,0.555171,1.54683
0.00231393,0.00233584,0.0320484,0.55498,1.54659
0.00227909,0.00230158,0.0317734,0.554854,1.54642
0.00224673,0.00227004,0.031504,0.554715,1.54623
0.00221679,0.0022405,0.0312568,0.554596,1.54607
0.00218858,0.00221291,0.0310162,0.554468,1.5459
0.00216238,0.00218717,0.0307998,0.554376,1.54576
0.00213764,0.00216352,0.0305936,0.554295,1.54564
0.00211457,0.00214054,0.0303952,0.554204,1.54551
0.00209274,0.00211915,0.0302025,0.5541,1.54536
0.00207213,0.0020986,0.0300247,0.55403,1.54525
0.00205301,0.0020796,0.0298663,0.553974,1.54516
0.00203488,0.00206215,0.0297087,0.553896,1.54504
0.00201761,0.00204517,0.0295572,0.553839,1.54495
0.00200143,0.00203024,0.0294217,0.553794,1.54487
0.00198638,0.00201452,0.0292886,0.553729,1.54478
0.00197188,0.00200097,0.0291667,0.553686,1.5447
0.00195808,0.00198661,0.0290296,0.5536,1.54457
0.00194505,0.0019741,0.0289287,0.55359,1.54453
0.00193304,0.00196151,0.0288171,0.553524,1.54443
0.00192115,0.00195083,0.0287149,0.553487,1.54436
0.00190993,0.0019389,0.0286113,0.55344,1.54428
0.00189935,0.00192897,0.0285118,0.553377,1.54419
0.00188962,0.00191831,0.0284482,0.55339,1.54417
0.00187938,0.00190915,0.0283329,0.55332,1.54409
0.00187034,0.00189953,0.0282603,0.553293,1.54404
0.0018611,0.00189029,0.0281627,0.553247,1.54396
0.00185281,0.00188278,0.0280876,0.553197,1.54387
