loss,mean_squared_error,mean_absolute_error,PSNR,SSIM,val_loss,val_mean_squared_error,val_mean_absolute_error,val_PSNR,val_SSIM
0.0416446,0.0416447,0.121383,16.7138,0.616464,0.0108693,0.0108693,0.0706608,20.0694,0.748504
0.007031,0.007031,0.0558945,22.1075,0.81325,0.00472128,0.00472128,0.0459523,23.76,0.853644
0.00364713,0.00364713,0.040555,24.9733,0.875368,0.00309235,0.00309235,0.0377509,25.7295,0.88667
0.00275033,0.00275033,0.0355157,26.2835,0.895734,0.00263289,0.00263289,0.0347114,26.5179,0.899398
0.00243379,0.00243379,0.0332242,26.8902,0.905401,0.00239842,0.00239842,0.0329186,26.9866,0.907217
0.00225025,0.00225025,0.0317494,27.2903,0.911667,0.00224975,0.00224975,0.0316699,27.3208,0.912188
0.00213081,0.00213081,0.0307223,27.5773,0.915776,0.00215022,0.00215022,0.0307841,27.5647,0.915505
0.00204823,0.00204823,0.0299765,27.7927,0.918531,0.00207802,0.00207802,0.030186,27.741,0.918169
0.0019877,0.0019877,0.0294182,27.9597,0.920571,0.00202382,0.00202382,0.0296717,27.8906,0.919896
0.00194122,0.00194122,0.028973,28.0976,0.922042,0.00198257,0.00198257,0.0292969,28.0107,0.921228
0.00190441,0.00190441,0.0286232,28.2124,0.923162,0.0019477,0.0019477,0.0289511,28.1144,0.922353
0.00187459,0.00187459,0.0283332,28.3089,0.924087,0.001921,0.001921,0.0287235,28.1973,0.923187
0.0018498,0.0018498,0.0280982,28.3916,0.924854,0.00189645,0.00189645,0.0284629,28.2782,0.923912
0.0018287,0.0018287,0.0278909,28.4641,0.925502,0.00187742,0.00187742,0.0282515,28.3501,0.924383
0.00181056,0.00181056,0.0277075,28.529,0.926055,0.00185854,0.00185854,0.0280534,28.4166,0.924862
0.00179478,0.00179478,0.0275493,28.587,0.926512,0.00184292,0.00184292,0.0278856,28.47,0.925406
0.00178087,0.00178087,0.0274012,28.6388,0.926938,0.00182905,0.00182905,0.0277475,28.5169,0.925845
0.00176815,0.00176815,0.0272634,28.6862,0.927313,0.0018176,0.0018176,0.0276484,28.5579,0.926212
0.00175753,0.00175753,0.0271493,28.7271,0.927635,0.00180646,0.00180646,0.0275141,28.6003,0.926509
0.00174829,0.00174829,0.0270514,28.7642,0.927873,0.00179685,0.00179685,0.0274398,28.6245,0.927014
0.00174024,0.00174024,0.0269613,28.7944,0.928169,0.00178912,0.00178912,0.0273289,28.6656,0.927002
0.00173269,0.00173269,0.0268805,28.8241,0.928352,0.00178522,0.00178522,0.027225,28.7055,0.926784
0.0017267,0.0017267,0.0268041,28.8522,0.928468,0.00177602,0.00177602,0.0271883,28.7104,0.927516
0.00172168,0.00172168,0.0267548,28.8695,0.92868,0.00177129,0.00177129,0.0271018,28.7454,0.92737
0.00171621,0.00171621,0.0266838,28.8933,0.928791,0.00176692,0.00176692,0.027044,28.7607,0.927554
0.0017124,0.0017124,0.0266424,28.9099,0.928917,0.00176658,0.00176658,0.0271519,28.7547,0.927697
0.00170947,0.00170947,0.0266244,28.9225,0.928992,0.00176094,0.00176094,0.0271003,28.7561,0.928213
0.00170548,0.00170548,0.0265597,28.9374,0.929152,0.00175544,0.00175544,0.0268252,28.8187,0.927772
0.00170266,0.00170266,0.0265244,28.9496,0.929243,0.0017526,0.0017526,0.0268315,28.8274,0.927878
0.00170023,0.00170023,0.0265042,28.9601,0.929288,0.00175183,0.00175183,0.0268415,28.8309,0.927921
0.00169649,0.00169649,0.0264318,28.9766,0.929377,0.0017506,0.0017506,0.0268561,28.8352,0.927965
0.0016967,0.0016967,0.0264685,28.9741,0.929429,0.00174528,0.00174528,0.0268358,28.8306,0.9285
0.00169334,0.00169334,0.0264115,28.9867,0.92953,0.00174688,0.00174688,0.0268557,28.8378,0.928316
0.00169188,0.00169188,0.0263901,28.995,0.929555,0.0017431,0.0017431,0.0268279,28.8388,0.928588
0.00169009,0.00169009,0.0263691,29.0015,0.92961,0.00174213,0.00174213,0.0268255,28.8417,0.928637
0.00168865,0.00168865,0.026346,29.0065,0.929687,0.00173856,0.00173856,0.0267222,28.8619,0.928643
0.00168776,0.00168776,0.0263399,29.0108,0.929703,0.00174162,0.00174162,0.0269301,28.8233,0.928918
0.00168763,0.00168763,0.0263536,29.0091,0.929752,0.00174037,0.00174037,0.0268616,28.8394,0.928873
0.00168572,0.00168572,0.026319,29.0159,0.929819,0.00173449,0.00173449,0.0266469,28.8816,0.928698
0.00168351,0.00168351,0.0262671,29.028,0.929819,0.00173392,0.00173392,0.0266335,28.8827,0.928747
0.0016849,0.0016849,0.0263198,29.0185,0.929897,0.0017331,0.0017331,0.0266461,28.8865,0.928742
0.00168265,0.00168265,0.0262789,29.0292,0.929876,0.00173217,0.00173217,0.026642,28.8743,0.929085
0.00168129,0.00168129,0.0262415,29.0333,0.929944,0.00173228,0.00173228,0.0266822,28.869,0.92915
0.00168184,0.00168184,0.0262681,29.0292,0.929984,0.00173191,0.00173191,0.026691,28.8802,0.928902
0.00167989,0.00167989,0.0262273,29.0394,0.929968,0.00173312,0.00173312,0.0267451,28.868,0.929035
0.00168097,0.00168097,0.0262667,29.0298,0.930052,0.00173207,0.00173207,0.0265966,28.9013,0.928692
0.00167896,0.00167896,0.0262114,29.0439,0.92999,0.00172855,0.00172855,0.0266643,28.874,0.929311
0.00167843,0.00167843,0.0262171,29.0417,0.93007,0.00172788,0.00172789,0.0265602,28.8976,0.929075
0.00167777,0.00167777,0.0261976,29.0442,0.930102,0.0017314,0.0017314,0.0267447,28.873,0.929036
0.0016782,0.0016782,0.0262249,29.0412,0.930093,0.00173769,0.00173769,0.0269222,28.8343,0.929355
0.001678,0.001678,0.0262195,29.0406,0.930143,0.00173513,0.00173513,0.0268582,28.8492,0.929223
0.00167797,0.00167797,0.0262249,29.0416,0.930101,0.00173034,0.00173034,0.0266975,28.8781,0.929154
0.00167709,0.00167709,0.0262071,29.045,0.930152,0.00172969,0.00172969,0.0265484,28.9147,0.928707
0.00167561,0.00167561,0.0261714,29.0503,0.930182,0.00172653,0.00172653,0.0265627,28.9067,0.929
0.00167498,0.00167498,0.0261624,29.0534,0.930177,0.0017303,0.0017303,0.0267433,28.8686,0.929356
0.00167621,0.00167621,0.0262006,29.0455,0.930227,0.00172602,0.00172602,0.0265407,28.9118,0.928982
0.00167474,0.00167474,0.026161,29.0538,0.930191,0.00172445,0.00172445,0.0265169,28.9126,0.929104
0.00167417,0.00167417,0.0261552,29.053,0.930265,0.00172565,0.00172565,0.0265456,28.9185,0.92884
0.00167467,0.00167467,0.0261702,29.053,0.930201,0.00173044,0.00173044,0.0267322,28.8721,0.929214
0.00167471,0.00167471,0.0261734,29.0512,0.930256,0.00172677,0.00172677,0.0266415,28.8887,0.929285
0.00167367,0.00167367,0.0261573,29.0549,0.930267,0.00172365,0.00172365,0.0264989,28.9132,0.929207
0.00167326,0.00167326,0.0261422,29.057,0.930281,0.00172293,0.00172293,0.0265227,28.9134,0.929171
