MIX,PSNR,SSIM,loss,mean_absolute_error,mean_squared_error,val_MIX,val_PSNR,val_SSIM,val_loss,val_mean_absolute_error,val_mean_squared_error
0.431506,16.4402,0.513044,0.0318725,0.140395,0.0318725,0.172274,22.4329,0.806571,0.00644669,0.0612113,0.00644669
0.141774,23.6148,0.841255,0.0049089,0.0526748,0.0049089,0.128238,24.0023,0.856848,0.00439024,0.0499396,0.00439024
0.120824,24.3792,0.865278,0.00403931,0.0478645,0.00403931,0.115457,24.6197,0.871359,0.00380972,0.0462426,0.00380972
0.110906,24.8876,0.87655,0.00361092,0.045053,0.00361092,0.108112,24.9976,0.879739,0.00351931,0.0443286,0.00351931
0.104901,25.2088,0.883417,0.00338385,0.043575,0.00338385,0.102842,25.2897,0.88577,0.00331814,0.0430549,0.00331814
0.0999638,25.4867,0.889067,0.00320222,0.0423769,0.00320222,0.0983165,25.5218,0.890969,0.00316698,0.0420655,0.00316698
0.0959768,25.7506,0.893602,0.00304398,0.0412626,0.00304398,0.0943578,25.7624,0.895492,0.00301551,0.0410692,0.00301551
0.092285,25.9875,0.897813,0.00290347,0.0402991,0.00290347,0.0917248,26.0342,0.898416,0.0028802,0.0399621,0.0028802
0.0891,26.1997,0.901439,0.0027838,0.0394289,0.0027838,0.0888296,26.236,0.901705,0.00276735,0.039134,0.00276735
0.086448,26.3823,0.904456,0.00268187,0.0386942,0.00268187,0.0856928,26.3385,0.905356,0.00268577,0.0386976,0.00268577
0.0842185,26.5218,0.907,0.002603,0.0381185,0.002603,0.0837994,26.5332,0.907455,0.00258906,0.0378836,0.00258906
0.0824372,26.64,0.909028,0.0025368,0.0376284,0.0025368,0.0826541,26.6301,0.908744,0.00255407,0.0374912,0.00255407
0.081049,26.7338,0.910606,0.00248606,0.0372341,0.00248606,0.0812021,26.7344,0.910389,0.0024937,0.0370545,0.0024937
0.0799758,26.7953,0.911834,0.00245131,0.0369777,0.00245131,0.0802303,26.7885,0.911507,0.00245927,0.0368525,0.00245927
0.0791315,26.859,0.912789,0.00241875,0.036714,0.00241875,0.0794725,26.8572,0.912352,0.00243587,0.0365504,0.00243587
0.078511,26.9182,0.913482,0.00239254,0.0364727,0.00239254,0.078734,26.8761,0.913223,0.00241344,0.0365076,0.00241344
0.0779158,26.9556,0.914162,0.00237158,0.0363226,0.00237158,0.0784711,26.937,0.913488,0.00239754,0.0362578,0.00239754
0.0775138,26.9958,0.914611,0.00235467,0.0361672,0.00235467,0.0779294,26.955,0.914123,0.00237639,0.0362049,0.00237639
0.0771431,27.0208,0.915034,0.00234207,0.0360709,0.00234207,0.077566,26.9874,0.914528,0.00236458,0.0360605,0.00236458
0.0768455,27.0452,0.915368,0.00232997,0.0359704,0.00232997,0.0774982,27.032,0.914575,0.00236075,0.0358819,0.00236075
0.0765996,27.0836,0.915634,0.00231466,0.0358242,0.00231466,0.0771773,26.9967,0.914993,0.00235476,0.036072,0.00235476
0.0763398,27.1073,0.915925,0.00230373,0.0357292,0.00230373,0.0769503,27.0754,0.915199,0.00232792,0.0357362,0.00232792
0.0761709,27.1267,0.916112,0.00229493,0.0356586,0.00229493,0.0766664,27.0781,0.915537,0.00232367,0.035735,0.00232367
0.0759642,27.1409,0.916348,0.00228818,0.035604,0.00228818,0.0767885,27.1498,0.915335,0.00231145,0.0354379,0.00231145
0.0758814,27.1867,0.916413,0.00227193,0.0354275,0.00227193,0.0764695,27.1294,0.915732,0.00230678,0.0355287,0.00230678
0.0756698,27.1994,0.916655,0.00226505,0.0353762,0.00226505,0.0763783,27.1444,0.915832,0.00229677,0.0354826,0.00229677
0.0755494,27.2077,0.916793,0.00226107,0.0353447,0.00226107,0.0762298,27.0934,0.916053,0.00230794,0.0357158,0.00230794
0.0754568,27.2271,0.916889,0.00225338,0.0352741,0.00225338,0.0762827,27.1879,0.91591,0.00229223,0.035295,0.00229223
0.075356,27.2419,0.916999,0.00224815,0.0352193,0.00224815,0.0761469,27.2221,0.916047,0.00228145,0.0351625,0.00228145
0.0752028,27.2577,0.917169,0.00224077,0.0351532,0.00224077,0.0760827,27.2324,0.916117,0.00227262,0.0351291,0.00227262
0.0751987,27.273,0.917164,0.00223651,0.0351018,0.00223651,0.0758448,27.2144,0.916417,0.00226753,0.0352178,0.00226753
0.0751048,27.2793,0.917271,0.00223282,0.0350774,0.00223282,0.075641,27.1789,0.916686,0.00228042,0.0353563,0.00228042
0.0749925,27.2766,0.917406,0.00223384,0.0350826,0.00223384,0.0756759,27.2309,0.916606,0.00226124,0.0351539,0.00226124
0.0749549,27.3041,0.917431,0.00222334,0.0349795,0.00222334,0.0754932,27.1375,0.9169,0.00228157,0.0355571,0.00228157
0.0748529,27.3051,0.917551,0.00222201,0.0349716,0.00222201,0.0754381,27.2473,0.916874,0.00225456,0.0350778,0.00225456
0.0748059,27.3104,0.917604,0.00221969,0.0349562,0.00221969,0.0758286,27.2542,0.916402,0.0022735,0.0350416,0.0022735
0.0748733,27.2946,0.917536,0.00222735,0.0350218,0.00222735,0.0752915,27.2876,0.917017,0.00224575,0.0349096,0.00224575
