MIX,PSNR,SSIM,loss,mean_absolute_error,mean_squared_error,val_MIX,val_PSNR,val_SSIM,val_loss,val_mean_absolute_error,val_mean_squared_error
0.29179,17.2826,0.675057,0.29179,0.117732,0.0257072,0.146678,19.4501,0.840925,0.146678,0.0815947,0.0127789
0.133426,19.8304,0.856143,0.133426,0.0786685,0.0117889,0.126814,20.2269,0.863522,0.126814,0.0760756,0.0109087
0.11696,20.7394,0.874351,0.11696,0.0713459,0.00955365,0.106547,21.5149,0.885386,0.106547,0.0641961,0.00782551
0.0979072,21.9077,0.894783,0.0979072,0.0595335,0.00708009,0.0930352,22.1996,0.900006,0.0930352,0.056502,0.0065999
0.089934,22.221,0.903537,0.089934,0.0556538,0.00652752,0.088773,22.3366,0.904795,0.088773,0.0550052,0.00637536
0.0870323,22.3455,0.90678,0.0870323,0.0545461,0.00632093,0.0866705,22.425,0.907144,0.0866705,0.0541951,0.00620849
0.0855452,22.4765,0.908417,0.0855452,0.0538459,0.00612429,0.0856273,22.5272,0.908312,0.0856273,0.0538102,0.00602662
0.0845387,22.6308,0.909492,0.0845387,0.0531994,0.00590875,0.0846499,22.7165,0.909325,0.0846499,0.053017,0.0057943
0.0837998,22.8067,0.910252,0.0837998,0.0525709,0.0056777,0.0839621,22.8844,0.910031,0.0839621,0.0524231,0.00557543
0.083164,22.9825,0.91089,0.083164,0.0519477,0.00545774,0.0835536,23.0852,0.910407,0.0835536,0.0518475,0.00533685
0.0826473,23.171,0.911379,0.0826473,0.0512848,0.00523607,0.0828124,23.2803,0.911109,0.0828124,0.0509019,0.00510926
0.0822175,23.3375,0.91178,0.0822175,0.0507003,0.00505018,0.0825154,23.4742,0.911347,0.0825154,0.0502928,0.00491058
0.0818715,23.5026,0.912081,0.0818715,0.0501203,0.00487222,0.0822408,23.5564,0.911639,0.0822408,0.0501091,0.00482191
0.080617,23.6969,0.913405,0.080617,0.0492291,0.00468004,0.0769584,23.9715,0.917414,0.0769584,0.0474146,0.00442533
0.0762991,24.0971,0.918114,0.0762991,0.0469704,0.00432212,0.0763168,24.2408,0.917993,0.0763168,0.0464436,0.00419474
0.0759161,24.2679,0.918454,0.0759161,0.0463603,0.00417589,0.0760158,24.373,0.918272,0.0760158,0.046027,0.00409154
0.0756389,24.4026,0.918696,0.0756389,0.0458969,0.00406533,0.0759399,24.469,0.91833,0.0759399,0.0458556,0.00401572
0.075423,24.5102,0.91888,0.075423,0.0455166,0.00397766,0.0755656,24.5877,0.918651,0.0755656,0.0452034,0.00391322
0.0752389,24.6099,0.919033,0.0752389,0.045171,0.00390025,0.0754275,24.6834,0.918775,0.0754275,0.0449901,0.00385232
0.0750765,24.6899,0.919174,0.0750765,0.0448911,0.00383749,0.0752718,24.7375,0.918908,0.0752718,0.0447143,0.003799
0.0749388,24.7655,0.919291,0.0749388,0.0446455,0.00378073,0.0751611,24.8156,0.919,0.0751611,0.0445088,0.00374272
0.0748049,24.8407,0.9194,0.0748049,0.044383,0.00372654,0.0750064,24.8813,0.919142,0.0750064,0.0442867,0.00369814
0.0747085,24.9055,0.919481,0.0747085,0.0442029,0.003681,0.0749455,24.9242,0.919197,0.0749455,0.0441952,0.0036695
0.0746084,24.9698,0.919565,0.0746084,0.0440179,0.00363776,0.0749532,24.9688,0.919174,0.0749532,0.0441188,0.00363144
0.0745224,25.023,0.91964,0.0745224,0.0438741,0.0036008,0.074798,25.0683,0.919308,0.074798,0.0438516,0.00357899
0.0744298,25.0905,0.91971,0.0744298,0.0436658,0.00355723,0.0747196,25.1437,0.919357,0.0747196,0.043619,0.0035428
0.074361,25.1461,0.919765,0.074361,0.0435208,0.00352133,0.0745914,25.1756,0.919474,0.0745914,0.0434351,0.00349442
0.0743002,25.1921,0.919817,0.0743002,0.0434147,0.00349195,0.0745117,25.2301,0.919554,0.0745117,0.0433576,0.00348357
0.0742605,25.2405,0.919839,0.0742605,0.0432808,0.00346411,0.0745161,25.257,0.919534,0.0745161,0.0432783,0.00344644
0.0741765,25.2832,0.919915,0.0741765,0.0431549,0.00343708,0.0743869,25.3402,0.919626,0.0743869,0.0429529,0.00339671
0.0741335,25.3203,0.919946,0.0741335,0.0430514,0.00341477,0.0743323,25.3269,0.919718,0.0743323,0.0430962,0.0034139
0.0740739,25.3512,0.919999,0.0740739,0.0429605,0.00339625,0.0744346,25.3891,0.919555,0.0744346,0.0428769,0.00338824
0.0740549,25.3794,0.920008,0.0740549,0.042886,0.00338115,0.0742526,25.415,0.919767,0.0742526,0.042853,0.00337555
0.0739948,25.4076,0.920059,0.0739948,0.0427762,0.0033641,0.0743763,25.362,0.919661,0.0743763,0.0430726,0.00339629
0.0739606,25.428,0.920089,0.0739606,0.04272,0.00335153,0.0742563,25.3983,0.919762,0.0742563,0.0428503,0.00336656
0.0739273,25.4364,0.920127,0.0739273,0.0427107,0.00334755,0.0741415,25.4748,0.919841,0.0741415,0.0425502,0.00331934
0.0738634,25.4625,0.920179,0.0738634,0.042587,0.00333195,0.0741244,25.4744,0.919877,0.0741244,0.042633,0.00332414
0.0738377,25.4687,0.920209,0.0738377,0.0425794,0.00332817,0.0740739,25.4683,0.919943,0.0740739,0.0426632,0.00334345
0.073798,25.4848,0.920243,0.073798,0.0425126,0.00331844,0.074098,25.4641,0.919918,0.074098,0.042682,0.00333375
0.0737709,25.4891,0.920274,0.0737709,0.0425068,0.00331563,0.074013,25.5222,0.919977,0.074013,0.0424605,0.00329012
0.0737326,25.503,0.920309,0.0737326,0.0424497,0.0033077,0.0739899,25.5227,0.920005,0.0739899,0.0424608,0.00329525
0.0737075,25.5064,0.920339,0.0737075,0.0424533,0.00330462,0.0739037,25.5457,0.920073,0.0739037,0.0422821,0.00327501
0.0736722,25.5125,0.920376,0.0736722,0.0424258,0.0033009,0.0739432,25.5181,0.920057,0.0739432,0.0424466,0.00329173
0.0736195,25.5218,0.920431,0.0736195,0.0423886,0.00329475,0.0739786,25.5072,0.920034,0.0739786,0.0425466,0.00328944
0.0735998,25.5258,0.920452,0.0735998,0.0423736,0.00329216,0.0738273,25.5533,0.920172,0.0738273,0.0423269,0.00328663
