MIX,PSNR,SSIM,loss,mean_absolute_error,mean_squared_error,val_MIX,val_PSNR,val_SSIM,val_loss,val_mean_absolute_error,val_mean_squared_error
0.376182,17.7035,0.574501,0.0244728,0.117273,0.0244728,0.226219,20.2032,0.745906,0.0110042,0.0798752,0.0110042
0.20467,20.8691,0.770423,0.00946929,0.0739051,0.00946929,0.177821,21.9981,0.800492,0.00710501,0.0639642,0.00710501
0.156989,22.802,0.824122,0.00590265,0.0578211,0.00590265,0.142785,23.2752,0.840423,0.00524988,0.0546223,0.00524988
0.127716,23.9727,0.857583,0.00457923,0.0505325,0.00457923,0.116993,24.3583,0.869924,0.00420563,0.0483101,0.00420563
0.111963,24.5691,0.875729,0.00403405,0.0473444,0.00403405,0.107892,24.6963,0.880443,0.00389062,0.0466542,0.00389062
0.105283,24.8615,0.883417,0.00379879,0.0459611,0.00379879,0.102727,24.9504,0.886362,0.00372106,0.0454442,0.00372106
0.100668,25.0782,0.888718,0.00363719,0.0449438,0.00363719,0.09849,25.1383,0.891237,0.00355495,0.0445546,0.00355495
0.0970024,25.2518,0.892929,0.00351263,0.0441421,0.00351263,0.0952797,25.2888,0.894935,0.00345698,0.0439041,0.00345698
0.0942809,25.3685,0.896068,0.00343153,0.0436153,0.00343153,0.0929124,25.3946,0.897663,0.00339503,0.0434311,0.00339503
0.0921921,25.4666,0.898471,0.00336463,0.0431744,0.00336463,0.0913075,25.4467,0.899521,0.00333276,0.0431564,0.00333276
0.090646,25.54,0.900249,0.00331669,0.0428442,0.00331669,0.0896759,25.5413,0.901389,0.0032911,0.0427675,0.0032911
0.0893973,25.5933,0.901691,0.00328131,0.0426126,0.00328131,0.0889018,25.4778,0.902359,0.00329144,0.0430203,0.00329144
0.0884357,25.6384,0.902799,0.00325103,0.0424165,0.00325103,0.087823,25.6504,0.903494,0.00321226,0.0422367,0.00321226
0.0876331,25.6881,0.903711,0.00322119,0.0421921,0.00322119,0.0871378,25.5442,0.904415,0.00324688,0.0427878,0.00324688
0.0869471,25.7192,0.904504,0.00319987,0.042063,0.00319987,0.0863511,25.7029,0.905209,0.00318741,0.042042,0.00318741
0.086355,25.7587,0.905175,0.00317593,0.0418874,0.00317593,0.0861812,25.7051,0.9054,0.00317775,0.0419802,0.00317775
0.0858444,25.7807,0.905768,0.00316275,0.0418099,0.00316275,0.0853862,25.7887,0.906279,0.00312815,0.0416276,0.00312815
0.0853889,25.8193,0.906276,0.00313928,0.0416332,0.00313928,0.0848388,25.8068,0.906914,0.00311017,0.0415433,0.00311017
0.084915,25.8444,0.906822,0.00312531,0.0415339,0.00312531,0.0845602,25.8465,0.907215,0.00310149,0.0413806,0.00310149
0.084592,25.8702,0.907186,0.00311171,0.0414292,0.00311171,0.0840603,25.8538,0.907807,0.00308136,0.0413653,0.00308136
0.0842028,25.8967,0.907628,0.00309553,0.0413156,0.00309553,0.0837619,25.8848,0.908141,0.00309012,0.0412496,0.00309012
0.0838539,25.9221,0.908022,0.00308048,0.0412003,0.00308048,0.0835584,25.8552,0.908413,0.00307199,0.0414084,0.00307199
0.0835811,25.9468,0.908328,0.0030674,0.0410997,0.0030674,0.0831627,25.9165,0.908835,0.00307972,0.0411526,0.00307972
0.0832489,25.9675,0.908707,0.00305634,0.0410166,0.00305634,0.0833479,25.8431,0.908665,0.00308017,0.0414143,0.00308017
0.0830506,25.9801,0.908933,0.00304965,0.0409626,0.00304965,0.0825761,25.9373,0.909509,0.00302922,0.0410203,0.00302922
0.0827478,26.0027,0.909275,0.00303663,0.0408688,0.00303663,0.0823457,26.0039,0.909726,0.00300777,0.0407242,0.00300777
0.0825578,26.014,0.909492,0.00303068,0.0408195,0.00303068,0.0821401,25.9744,0.909998,0.00300564,0.0408655,0.00300564
0.0823227,26.0381,0.909752,0.00301751,0.040714,0.00301751,0.0819595,26.0084,0.910178,0.00299382,0.0406801,0.00299382
0.0821403,26.0509,0.90996,0.0030118,0.0406648,0.0030118,0.0817273,26.0517,0.910426,0.00298971,0.0405305,0.00298971
