MIX,PSNR,SSIM,loss,mean_absolute_error,mean_squared_error,val_MIX,val_PSNR,val_SSIM,val_loss,val_mean_absolute_error,val_mean_squared_error
0.0717935,27.5326,0.921028,0.0341072,0.0341072,0.0021504,0.0724319,27.4487,0.92035,0.0345349,0.0345349,0.00220627
0.0717991,27.6307,0.920945,0.033706,0.033706,0.00211712,0.0728843,27.4528,0.919809,0.0345239,0.0345239,0.00219989
0.0720437,27.6235,0.920663,0.033754,0.033754,0.00212417,0.0724394,27.4505,0.920337,0.0345132,0.0345132,0.00219294
0.0719709,27.6315,0.920742,0.0337145,0.0337145,0.00212247,0.0724533,27.3526,0.920396,0.0349142,0.0349142,0.0021895
0.0720593,27.6319,0.920638,0.0337168,0.0337168,0.00212227,0.0724807,27.4693,0.920277,0.0344608,0.0344608,0.00219704
0.0719284,27.6419,0.920787,0.0336818,0.0336818,0.00211955,0.0729779,27.4683,0.91969,0.0344842,0.0344842,0.00221515
0.0720073,27.642,0.920693,0.0336852,0.0336852,0.00212097,0.072603,27.4602,0.920137,0.034488,0.034488,0.00217678
0.0721407,27.6354,0.920542,0.0337236,0.0337236,0.00212293,0.0730604,27.3587,0.919681,0.0349503,0.0349503,0.00223869
0.0720682,27.6554,0.920613,0.0336446,0.0336446,0.0021186,0.0728114,27.4476,0.91991,0.0345969,0.0345969,0.00224184
0.0720613,27.6341,0.920637,0.0337307,0.0337307,0.00212551,0.0723662,27.3365,0.920513,0.0349802,0.0349802,0.00219759
0.0720754,27.6213,0.92063,0.0337787,0.0337787,0.00212698,0.0728059,27.4815,0.919886,0.0344362,0.0344362,0.00219279
0.0720244,27.6516,0.920666,0.0336496,0.0336496,0.00211915,0.0726634,27.4522,0.92007,0.0345151,0.0345151,0.00219683
0.0720417,27.6355,0.92066,0.0337269,0.0337269,0.00212423,0.0729213,27.483,0.919749,0.0344422,0.0344422,0.00220453
0.0721345,27.6561,0.920534,0.0336465,0.0336465,0.00212042,0.0722094,27.4714,0.920596,0.0344367,0.0344367,0.00217332
0.0719644,27.6498,0.92074,0.0336603,0.0336603,0.00211887,0.0729745,27.4524,0.919706,0.0345451,0.0345451,0.00222162
0.0719891,27.6525,0.920709,0.0336541,0.0336541,0.00211919,0.073034,27.4701,0.919628,0.0345099,0.0345099,0.00221765
