MIX,PSNR,SSIM,loss,mean_absolute_error,mean_squared_error,val_MIX,val_PSNR,val_SSIM,val_loss,val_mean_absolute_error,val_mean_squared_error
0.316973,19.4709,0.641281,0.0186362,0.0978036,0.0186362,0.161069,22.7791,0.819266,0.00586735,0.0578305,0.00586735
0.139928,23.3689,0.843749,0.00517657,0.0542301,0.00517657,0.123455,23.9035,0.86278,0.0045794,0.0511919,0.0045794
0.113894,24.2963,0.873768,0.00424687,0.0491178,0.00424687,0.106478,24.6472,0.882262,0.00392419,0.0473597,0.00392419
0.10163,24.9041,0.887802,0.00375064,0.0461398,0.00375064,0.0985387,25.1261,0.891288,0.00357828,0.045128,0.00357828
0.0955813,25.264,0.894686,0.00349083,0.0444857,0.00349083,0.0938111,25.3907,0.896689,0.00339462,0.0439337,0.00339462
0.0923499,25.4587,0.898369,0.00335949,0.043622,0.00335949,0.0912411,25.5185,0.899647,0.00329673,0.0434049,0.00329673
0.0902212,25.611,0.900768,0.00324992,0.0429162,0.00324992,0.0891719,25.7336,0.901897,0.00311724,0.0422816,0.00311724
0.085716,26.2756,0.905405,0.00272941,0.0391012,0.00272941,0.0837864,26.5439,0.907428,0.0025284,0.03766,0.0025284
0.0823698,26.7035,0.908994,0.00247753,0.03703,0.00247753,0.0820967,26.8024,0.909242,0.00242728,0.0366235,0.00242728
0.0806536,26.8389,0.910938,0.00241201,0.036512,0.00241201,0.0805636,26.8978,0.911,0.00237302,0.0362738,0.00237302
0.0793529,26.9343,0.912419,0.00236668,0.0361546,0.00236668,0.0792652,26.9751,0.91249,0.00233557,0.0359788,0.00233557
0.0783014,27.0064,0.91362,0.00233242,0.0358873,0.00233242,0.0782546,27.0402,0.913647,0.00230416,0.0357373,0.00230416
0.0774982,27.0655,0.914534,0.00230536,0.0356692,0.00230536,0.0774563,27.0119,0.914629,0.00229566,0.035902,0.00229566
0.0768747,27.1058,0.915249,0.00228611,0.0355222,0.00228611,0.0770331,27.1467,0.915026,0.00226081,0.0353433,0.00226081
0.0763662,27.143,0.915829,0.00226933,0.0353908,0.00226933,0.0768034,27.1853,0.915276,0.00224656,0.0352219,0.00224656
0.0759943,27.1792,0.916247,0.00225424,0.0352621,0.00225424,0.0764232,27.2125,0.91571,0.00223661,0.0351234,0.00223661
0.0756984,27.2023,0.916585,0.0022445,0.0351856,0.0022445,0.0759143,27.2322,0.916301,0.00222502,0.0350465,0.00222502
0.0753447,27.2262,0.91699,0.00223354,0.0350988,0.00223354,0.0759147,27.2626,0.916282,0.00221161,0.0349476,0.00221161
0.0751484,27.2551,0.917203,0.00222236,0.0349946,0.00222236,0.0754812,27.2726,0.91679,0.00220843,0.0349053,0.00220843
0.0748803,27.2721,0.917511,0.00221497,0.0349348,0.00221497,0.0753871,27.3145,0.916874,0.00219536,0.0347587,0.00219536
0.074698,27.2942,0.917713,0.00220643,0.0348571,0.00220643,0.0750807,27.3368,0.91722,0.00219371,0.0346625,0.00219371
0.0745117,27.308,0.917926,0.00220041,0.0348075,0.00220041,0.0747369,27.2725,0.917682,0.00219519,0.0349341,0.00219519
0.0743262,27.317,0.918141,0.00219647,0.0347779,0.00219647,0.0748416,27.2608,0.91757,0.0022029,0.0350031,0.0022029
0.0741593,27.3363,0.918326,0.00218899,0.034706,0.00218899,0.0748809,27.3966,0.91742,0.00217655,0.0344595,0.00217655
0.0740709,27.3523,0.91842,0.00218337,0.0346513,0.00218337,0.0745256,27.4051,0.917834,0.00217266,0.0344131,0.00217266
0.0739422,27.3582,0.91857,0.00218072,0.0346321,0.00218072,0.0742492,27.3999,0.918168,0.00216541,0.0344376,0.00216541
0.0738065,27.3655,0.918726,0.00217745,0.034604,0.00217745,0.073948,27.3256,0.918586,0.0021665,0.0347541,0.0021665
0.0736947,27.3816,0.918848,0.00217119,0.0345443,0.00217119,0.0740445,27.3606,0.918448,0.00216014,0.034632,0.00216014
0.073576,27.3871,0.918986,0.00216897,0.034527,0.00216897,0.0742402,27.4193,0.91817,0.00215339,0.034391,0.00215339
