MIX,PSNR,SSIM,loss,mean_absolute_error,mean_squared_error,val_MIX,val_PSNR,val_SSIM,val_loss,val_mean_absolute_error,val_mean_squared_error
0.256241,19.6961,0.713692,0.0190952,0.0983921,0.0190952,0.125725,23.7248,0.860067,0.00464342,0.0511319,0.00464342
0.113449,24.4043,0.873946,0.00401106,0.0472746,0.00401106,0.105893,24.7161,0.882644,0.00375336,0.0457103,0.00375336
0.0966667,25.2472,0.893119,0.00334043,0.0430427,0.00334043,0.0912322,25.5181,0.899346,0.00315017,0.041767,0.00315017
0.0865917,25.8006,0.904646,0.00296049,0.0405896,0.00296049,0.0843139,25.8923,0.907298,0.00287891,0.0402776,0.00287891
0.0817445,26.1395,0.910163,0.0027514,0.0392578,0.0027514,0.0811044,26.1419,0.910932,0.00273633,0.0392957,0.00273633
0.0791563,26.4095,0.913049,0.00260524,0.038232,0.00260524,0.0790665,26.4492,0.913131,0.00257831,0.0381018,0.00257831
0.0774183,26.6473,0.914945,0.00248439,0.0373277,0.00248439,0.0777032,26.681,0.914583,0.00248555,0.037208,0.00248555
0.0761726,26.8391,0.916293,0.00239516,0.0366157,0.00239516,0.0766543,26.7981,0.915755,0.00241396,0.0368057,0.00241396
0.0753864,26.936,0.917166,0.00235017,0.0362845,0.00235017,0.0759728,26.9413,0.916461,0.00236356,0.0362476,0.00236356
0.0747087,27.0584,0.91788,0.0022975,0.035801,0.0022975,0.0753603,27.013,0.917139,0.00231583,0.0359799,0.00231583
0.0741714,27.138,0.918462,0.00226216,0.0354967,0.00226216,0.0749815,27.0749,0.917546,0.00229095,0.0357508,0.00229095
0.0737961,27.1883,0.918875,0.00224147,0.0353178,0.00224147,0.0747702,26.868,0.917972,0.00234339,0.0366692,0.00234339
0.073366,27.2381,0.919351,0.00222027,0.0351293,0.00222027,0.0743277,27.1103,0.918308,0.00226426,0.035666,0.00226426
0.0731024,27.2724,0.91964,0.00220504,0.0349996,0.00220504,0.0743934,27.2528,0.918122,0.0022481,0.0351003,0.0022481
0.0728167,27.3051,0.919957,0.00219288,0.0348766,0.00219288,0.0740881,27.1921,0.91853,0.00225625,0.0353315,0.00225625
0.0725852,27.3436,0.920205,0.00217708,0.0347335,0.00217708,0.0737708,27.2742,0.918847,0.00222623,0.035015,0.00222623
0.0723592,27.3508,0.92047,0.00217409,0.0347108,0.00217409,0.073509,27.2939,0.919144,0.00221703,0.0349356,0.00221703
0.0721597,27.3761,0.92069,0.00216378,0.0346209,0.00216378,0.0731983,27.2788,0.919525,0.0022004,0.0349924,0.0022004
0.0720005,27.4027,0.920861,0.00215353,0.0345248,0.00215353,0.0730593,27.3221,0.91966,0.00219411,0.034835,0.00219411
0.0718624,27.4076,0.921022,0.00215001,0.0345051,0.00215001,0.0731604,27.3485,0.919524,0.00218587,0.0347511,0.00218587
0.0717164,27.4317,0.92118,0.00214216,0.0344218,0.00214216,0.072933,27.3361,0.919804,0.00218125,0.0348001,0.00218125
0.07158,27.4421,0.921334,0.00213722,0.0343759,0.00213722,0.0728703,27.1899,0.919988,0.0022189,0.0353743,0.0022189
0.071535,27.4397,0.921391,0.00213746,0.0343965,0.00213746,0.0725528,27.3329,0.920255,0.00217727,0.0347926,0.00217727
0.0714872,27.4472,0.921444,0.00213491,0.0343745,0.00213491,0.0727938,27.2895,0.920011,0.00219361,0.0350157,0.00219361
0.0713583,27.4548,0.92159,0.00212974,0.0343353,0.00212974,0.0728144,27.2508,0.920011,0.00222263,0.0351482,0.00222263
0.0713208,27.4555,0.921633,0.00213052,0.0343308,0.00213052,0.0723027,27.2936,0.920587,0.0021747,0.0349746,0.0021747
0.0712411,27.482,0.92171,0.0021194,0.0342332,0.0021194,0.0722755,27.3733,0.920559,0.00219257,0.0346566,0.00219257
0.0711542,27.4772,0.921818,0.00212099,0.0342558,0.00212099,0.07226,27.3897,0.920564,0.00216879,0.0345869,0.00216879
0.0711262,27.4846,0.921845,0.00211839,0.0342277,0.00211839,0.0722435,27.3427,0.920622,0.00216607,0.0347885,0.00216607
0.0710441,27.4805,0.921947,0.00211875,0.0342465,0.00211875,0.0723959,27.4211,0.920383,0.00215444,0.0344872,0.00215444
0.0710046,27.5026,0.921978,0.0021103,0.0341657,0.0021103,0.0723162,27.4485,0.920457,0.00215904,0.034378,0.00215904
0.071002,27.4949,0.921988,0.00211323,0.0342009,0.00211323,0.0721233,27.4354,0.920693,0.00215382,0.0344094,0.00215382
0.0709777,27.4999,0.922011,0.00211075,0.0341703,0.00211075,0.0722054,27.2397,0.920751,0.00218814,0.0352273,0.00218814
0.0708847,27.5052,0.922119,0.00210755,0.0341505,0.00210755,0.0723672,27.4494,0.920399,0.0021635,0.0343883,0.0021635
0.0709337,27.4987,0.922068,0.00211281,0.0341918,0.00211281,0.0718812,27.3803,0.921025,0.00215362,0.0346372,0.00215362
0.070848,27.5142,0.922155,0.00210389,0.0341144,0.00210389,0.0722421,27.2219,0.920716,0.00221676,0.0352736,0.00221676
0.070802,27.5205,0.922206,0.00210176,0.0340962,0.00210176,0.0716419,27.4214,0.921277,0.00214765,0.0344647,0.00214765
0.0707498,27.5204,0.922269,0.00210201,0.0340963,0.00210201,0.071991,27.449,0.920843,0.00214771,0.034372,0.00214771
0.0707382,27.5306,0.922275,0.00209795,0.034059,0.00209795,0.0719131,27.3544,0.921007,0.00215022,0.0347455,0.00215022
0.0706986,27.5353,0.92232,0.002096,0.0340442,0.002096,0.0717609,27.4119,0.921145,0.00214131,0.0345157,0.00214131
0.070678,27.523,0.922353,0.00209904,0.0340896,0.00209904,0.0721868,27.4682,0.920599,0.00214205,0.034314,0.00214205
0.0707056,27.5338,0.922315,0.00209677,0.0340651,0.00209677,0.0716696,27.4246,0.921244,0.00213612,0.0344662,0.00213612
0.0706136,27.5515,0.92241,0.00208989,0.0339874,0.00208989,0.0718476,27.4242,0.921035,0.00213454,0.0344824,0.00213454
0.0706667,27.5335,0.922362,0.00209623,0.0340695,0.00209623,0.0719306,27.4476,0.920926,0.0021531,0.0344254,0.0021531
0.0705649,27.5444,0.922474,0.00209132,0.0340169,0.00209132,0.0721603,27.3943,0.920692,0.00214599,0.0346332,0.00214599
0.0705858,27.5417,0.92245,0.0020929,0.0340269,0.0020929,0.0717126,27.4665,0.921163,0.00213635,0.0343107,0.00213635
0.0705541,27.5526,0.92248,0.00208765,0.033983,0.00208765,0.0721057,27.4336,0.920722,0.00213844,0.034453,0.00213844
0.0705178,27.5551,0.922522,0.00208663,0.0339758,0.00208663,0.0720928,27.4328,0.920739,0.00213222,0.0344607,0.00213222
0.070544,27.5546,0.922491,0.00208642,0.033978,0.00208642,0.0718386,27.3764,0.921074,0.00215476,0.0346287,0.00215476
