MIX,PSNR,SSIM,loss,mean_absolute_error,mean_squared_error,val_MIX,val_PSNR,val_SSIM,val_loss,val_mean_absolute_error,val_mean_squared_error
0.248741,17.6276,0.72874,0.27126,0.130517,0.0320534,0.0965269,23.0722,0.895157,0.104843,0.0528685,0.00523568
0.0851743,23.8028,0.907873,0.0921268,0.0486738,0.00447906,0.0812376,24.0185,0.912402,0.087598,0.0478455,0.00422647
0.077136,24.5045,0.916812,0.0831874,0.0453666,0.00386764,0.0767676,24.5922,0.917166,0.0828338,0.04492,0.00378187
0.0743361,24.8524,0.919841,0.0801586,0.0437678,0.00361094,0.0754874,24.7684,0.918584,0.0814159,0.0443631,0.00363339
0.0729969,25.0656,0.921272,0.0787281,0.0429079,0.00345846,0.0739923,25.0748,0.920081,0.079919,0.0428772,0.00347097
0.0720318,25.2583,0.922263,0.0777362,0.0420835,0.00332893,0.0734085,25.247,0.920638,0.0793618,0.042154,0.00331275
0.0713161,25.4163,0.922983,0.0770174,0.0413847,0.00322486,0.0734647,25.1471,0.9207,0.0792996,0.0428311,0.00335597
0.0709336,25.4711,0.92342,0.0765797,0.0412913,0.00318887,0.0722528,25.4875,0.921826,0.0781736,0.041169,0.00318837
0.0705388,25.5712,0.923809,0.0761909,0.0408654,0.00312528,0.0722247,25.4441,0.9219,0.0780999,0.0413802,0.00321101
0.0702741,25.6324,0.924086,0.075914,0.0406644,0.00308938,0.0719579,25.5165,0.922224,0.0777755,0.0414155,0.0031645
0.0700222,25.7162,0.924321,0.0756794,0.0403219,0.00303826,0.0717389,25.5615,0.922431,0.0775687,0.041132,0.00313088
0.0699881,25.7269,0.924373,0.0756267,0.0403856,0.00302786,0.0716417,25.6383,0.922483,0.0775168,0.0407972,0.00306653
0.0698282,25.7809,0.924528,0.0754723,0.0401968,0.00299621,0.0714303,25.7182,0.922661,0.0773389,0.0404105,0.00304568
0.0696924,25.8353,0.924651,0.0753488,0.0399963,0.00296378,0.0713243,25.7616,0.922767,0.0772332,0.0403028,0.00301587
0.0696604,25.8546,0.924687,0.0753131,0.0399835,0.00295129,0.0716594,25.5789,0.922621,0.0773791,0.0416312,0.00312906
0.0696093,25.882,0.924734,0.0752662,0.0399105,0.00293501,0.0713885,25.797,0.922686,0.0773139,0.0402804,0.0029606
0.0695373,25.9101,0.924806,0.0751945,0.0398368,0.00291675,0.0714401,25.7174,0.92274,0.0772596,0.0408878,0.00306031
0.0694281,25.9661,0.92489,0.07511,0.0395982,0.00288928,0.0711901,25.8649,0.922902,0.077098,0.0401739,0.0029323
0.0693679,25.9833,0.924955,0.0750447,0.0395647,0.00287656,0.0711826,25.8164,0.922949,0.0770511,0.0403732,0.00300538
0.0693971,25.9832,0.92493,0.0750702,0.0396136,0.00287618,0.0711922,25.8688,0.922905,0.0770955,0.0402002,0.00294912
0.0692607,26.0409,0.925044,0.0749558,0.039362,0.00284536,0.0713502,25.8185,0.922734,0.0772657,0.0402937,0.00297208
0.0691859,26.075,0.925105,0.0748947,0.0392148,0.00282531,0.0717592,25.5805,0.922591,0.0774087,0.0420994,0.00315676
0.0691232,26.0999,0.925162,0.0748381,0.0391201,0.00281261,0.0711892,25.8561,0.922968,0.0770318,0.0405158,0.00295526
0.0691947,26.085,0.925102,0.0748979,0.039253,0.00281817,0.0709634,25.9379,0.923113,0.0768875,0.0398621,0.00293182
0.0690808,26.1214,0.925208,0.074792,0.0390972,0.00279819,0.0710581,25.9701,0.922975,0.0770248,0.0397331,0.00290679
0.0691724,26.1032,0.925125,0.0748754,0.0392317,0.00280609,0.0708696,25.9958,0.923206,0.0767946,0.0397633,0.00288344
0.0689798,26.1807,0.925282,0.0747174,0.0388575,0.00276665,0.0708229,26.0804,0.92318,0.0768196,0.0393398,0.00280856
0.0690293,26.1752,0.925237,0.0747632,0.0389261,0.00276826,0.0709725,26.0338,0.923054,0.0769456,0.0396138,0.00281895
0.0689815,26.2103,0.925265,0.0747354,0.038774,0.00275038,0.0708115,26.0445,0.923247,0.0767533,0.0396173,0.00285075
0.0689208,26.2296,0.925327,0.0746734,0.03872,0.00273885,0.0708806,25.999,0.923216,0.0767841,0.0398869,0.00290281
0.0689691,26.2281,0.925277,0.0747229,0.0387619,0.00274095,0.0705722,26.1773,0.923405,0.0765949,0.0389529,0.00277496
0.0689136,26.2583,0.925319,0.0746809,0.0386354,0.00272267,0.070684,26.1541,0.923314,0.0766865,0.0391708,0.00277798
0.0688906,26.2896,0.925322,0.0746785,0.0385037,0.00270605,0.0710219,26.0562,0.922974,0.0770265,0.0394976,0.00283859
0.0688939,26.2928,0.925319,0.0746816,0.0385087,0.0027043,0.070577,26.2031,0.923384,0.0766157,0.0388736,0.00277247
0.0688613,26.3088,0.925348,0.0746516,0.0384621,0.00269602,0.0705987,26.2481,0.92332,0.0766795,0.0386746,0.00273648
