MIX,PSNR,SSIM,loss,mean_absolute_error,mean_squared_error,val_MIX,val_PSNR,val_SSIM,val_loss,val_mean_absolute_error,val_mean_squared_error
0.527496,15.8221,0.399598,0.0344971,0.144738,0.0344971,0.33116,19.723,0.621564,0.0119474,0.0829626,0.0119474
0.300415,20.8417,0.656159,0.00955768,0.0724266,0.00955768,0.269817,21.6835,0.691245,0.00797203,0.0653937,0.00797203
0.263925,21.984,0.697838,0.00755372,0.0631839,0.00755372,0.249299,22.3746,0.714728,0.00700452,0.0604396,0.00700452
0.248453,22.4734,0.715616,0.00689066,0.0598147,0.00689066,0.237907,22.7298,0.72786,0.00657457,0.058183,0.00657457
0.238582,22.774,0.727001,0.00651772,0.0578965,0.00651772,0.229327,22.9815,0.737773,0.00627599,0.0566029,0.00627599
0.231898,22.9482,0.734756,0.00629984,0.0568304,0.00629984,0.224497,23.1925,0.743303,0.00607858,0.0554418,0.00607858
0.226834,23.1215,0.740581,0.0061022,0.0557641,0.0061022,0.219519,23.2806,0.749125,0.0059592,0.0548984,0.0059592
0.222902,23.2337,0.745132,0.00597272,0.0550805,0.00597272,0.215881,23.3487,0.753385,0.00587014,0.0545238,0.00587014
0.219598,23.3568,0.748927,0.00584475,0.0543521,0.00584475,0.211765,23.4075,0.758168,0.0057068,0.0539164,0.0057068
0.216526,23.443,0.75248,0.0057473,0.0538094,0.0057473,0.209129,23.5767,0.761117,0.00557398,0.0529208,0.00557398
0.213659,23.5528,0.75576,0.005636,0.0531105,0.005636,0.206473,23.619,0.764217,0.00549551,0.052595,0.00549551
0.211228,23.6315,0.758563,0.00555333,0.0526287,0.00555333,0.20559,23.85,0.765084,0.00543509,0.0516244,0.00543509
0.20926,23.692,0.760843,0.00549921,0.0522997,0.00549921,0.202555,23.8191,0.768682,0.00536386,0.0515466,0.00536386
0.206805,23.7984,0.763649,0.00539847,0.051683,0.00539847,0.199933,23.9916,0.771623,0.00523166,0.0506046,0.00523166
0.204436,23.8715,0.766386,0.00532086,0.0512507,0.00532086,0.197817,23.898,0.774212,0.00522957,0.0509702,0.00522957
0.201996,23.9531,0.769202,0.0052382,0.0507856,0.0052382,0.195232,24.1799,0.777048,0.00508357,0.0497048,0.00508357
0.199556,24.0323,0.772025,0.00516191,0.050355,0.00516191,0.192927,24.0935,0.779825,0.00502944,0.0498782,0.00502944
0.197343,24.0946,0.774594,0.00509927,0.0500173,0.00509927,0.191412,24.3161,0.78147,0.00496925,0.0490433,0.00496925
0.195015,24.1691,0.777285,0.00502319,0.0495901,0.00502319,0.188879,24.3319,0.784483,0.00493703,0.0490287,0.00493703
0.193388,24.2004,0.779198,0.00499362,0.0494621,0.00499362,0.186808,24.4482,0.786796,0.00481408,0.0482257,0.00481408
0.191439,24.2677,0.781448,0.00492841,0.0490924,0.00492841,0.184758,24.4716,0.789202,0.0047622,0.04805,0.0047622
0.189726,24.3182,0.783439,0.00488516,0.0488449,0.00488516,0.183762,24.5628,0.79031,0.00475593,0.0476364,0.00475593
0.187621,24.4044,0.78585,0.00480335,0.0483434,0.00480335,0.183165,24.6132,0.790999,0.00471715,0.0475266,0.00471715
0.186566,24.4248,0.787086,0.00478088,0.048236,0.00478088,0.180116,24.5481,0.794638,0.00463113,0.0475706,0.00463113
0.185172,24.471,0.788697,0.00473619,0.0479856,0.00473619,0.181358,24.7386,0.793048,0.00466199,0.0469873,0.00466199
0.183908,24.508,0.790166,0.00470555,0.0477976,0.00470555,0.179616,24.8191,0.795026,0.00459712,0.0464864,0.00459712
0.182993,24.5537,0.791209,0.00466868,0.0475532,0.00466868,0.177109,24.8393,0.797969,0.00452729,0.046271,0.00452729
0.181536,24.6031,0.792896,0.00462867,0.0473032,0.00462867,0.176325,24.7928,0.79896,0.00452087,0.0465749,0.00452087
0.18045,24.6367,0.794153,0.00459434,0.0471158,0.00459434,0.174152,24.8567,0.80144,0.00443462,0.0460107,0.00443462
0.180027,24.6632,0.794629,0.00457481,0.0469683,0.00457481,0.174238,24.6665,0.801486,0.00450041,0.0467904,0.00450041
0.179175,24.6766,0.795627,0.00455765,0.0468848,0.00455765,0.17597,24.9772,0.7992,0.00446925,0.0456108,0.00446925
0.177846,24.7431,0.797143,0.00450434,0.0465404,0.00450434,0.171936,24.8372,0.804054,0.00436423,0.045885,0.00436423
0.177184,24.7437,0.79793,0.00449901,0.0465316,0.00449901,0.1712,24.9414,0.80485,0.00432797,0.045466,0.00432797
0.176553,24.7781,0.798646,0.00447364,0.0463487,0.00447364,0.171179,24.8334,0.80494,0.00434551,0.0458069,0.00434551
0.175754,24.801,0.79957,0.00444746,0.046205,0.00444746,0.169359,25.0116,0.806994,0.00428902,0.0452099,0.00428902
0.17507,24.8394,0.800349,0.00442195,0.0460202,0.00442195,0.16971,24.8867,0.806668,0.00430802,0.0456924,0.00430802
0.17477,24.8495,0.800692,0.00441027,0.045949,0.00441027,0.168873,24.9746,0.807583,0.00426881,0.0452662,0.00426881
0.174146,24.8721,0.80141,0.0043892,0.0458174,0.0043892,0.167468,25.1195,0.809142,0.00424861,0.0446727,0.00424861
0.173118,24.9081,0.802603,0.00436354,0.0456531,0.00436354,0.168239,24.9185,0.808366,0.00427398,0.0454173,0.00427398
0.172666,24.9095,0.803136,0.00435567,0.0456237,0.00435567,0.16724,25.0198,0.809525,0.00428353,0.0452602,0.00428353
0.172115,24.945,0.803756,0.00432896,0.0454393,0.00432896,0.166294,25.0567,0.810554,0.00419186,0.0447465,0.00419186
0.171926,24.9544,0.803972,0.00432574,0.0453955,0.00432574,0.166165,25.0943,0.810682,0.00417045,0.0446131,0.00417045
0.171168,24.9754,0.804853,0.00430111,0.0452772,0.00430111,0.165633,25.1491,0.81127,0.00415988,0.0443685,0.00415988
0.171508,24.9592,0.804467,0.00431919,0.0453779,0.00431919,0.165502,25.0238,0.811589,0.00422645,0.0452292,0.00422645
0.170024,25.0084,0.806189,0.00427796,0.0451439,0.00427796,0.167255,25.2007,0.809316,0.00424206,0.044256,0.00424206
0.169934,25.0295,0.80627,0.00426192,0.045005,0.00426192,0.165132,25.0202,0.811974,0.0041723,0.0449374,0.0041723
0.169162,25.0595,0.80716,0.0042375,0.0448566,0.0042375,0.166941,25.2284,0.809679,0.00421706,0.044195,0.00421706
0.168655,25.0585,0.807764,0.00423089,0.0448542,0.00423089,0.163158,25.2768,0.814102,0.0040831,0.0437724,0.0040831
0.168632,25.073,0.807776,0.00422353,0.0447779,0.00422353,0.162713,25.2098,0.814675,0.00409073,0.0440015,0.00409073
0.169169,25.056,0.807158,0.00424456,0.0448859,0.00424456,0.167448,24.7798,0.809408,0.00427469,0.0459389,0.00427469
