MIX,PSNR,SSIM,loss,mean_absolute_error,mean_squared_error,val_MIX,val_PSNR,val_SSIM,val_loss,val_mean_absolute_error,val_mean_squared_error
0.316934,20.8885,0.637402,0.0121216,0.0771966,0.0121216,0.239241,22.8421,0.726173,0.00653806,0.0576676,0.00653806
0.233163,23.119,0.733078,0.00622208,0.0559297,0.00622208,0.226191,23.3474,0.741151,0.00605437,0.0547356,0.00605437
0.222933,23.493,0.744829,0.00584397,0.0536854,0.00584397,0.215899,23.6863,0.753011,0.0056998,0.0526771,0.0056998
0.211923,23.8063,0.757578,0.00549851,0.0518023,0.00549851,0.204951,23.6322,0.766037,0.00553196,0.0526353,0.00553196
0.202747,24.0568,0.768212,0.00522499,0.0502857,0.00522499,0.198177,24.1105,0.773592,0.0051682,0.0499622,0.0051682
0.197382,24.2229,0.774408,0.00505006,0.0492843,0.00505006,0.193323,24.2228,0.779228,0.00501714,0.0492149,0.00501714
0.192969,24.3563,0.779513,0.00491542,0.0485026,0.00491542,0.189783,24.2279,0.783493,0.00500377,0.0494838,0.00500378
0.189124,24.4746,0.783969,0.00480033,0.0478639,0.00480034,0.186205,24.6064,0.787392,0.00478939,0.0475892,0.00478939
0.18612,24.5669,0.787453,0.00471405,0.0473821,0.00471405,0.183192,24.47,0.791013,0.00472199,0.0477726,0.00472199
0.183996,24.6418,0.789909,0.00464977,0.0469997,0.00464977,0.180761,24.6988,0.793731,0.00462224,0.0468427,0.00462225
0.182215,24.7098,0.791964,0.0045951,0.0466545,0.0045951,0.180555,24.8829,0.793871,0.00462084,0.0462893,0.00462084
0.180514,24.7658,0.793937,0.00454864,0.0463781,0.00454865,0.177753,24.7678,0.797219,0.00452668,0.046356,0.00452668
0.179002,24.8196,0.795682,0.00449954,0.0460909,0.00449954,0.176539,24.9837,0.798518,0.00450467,0.0455926,0.00450467
0.177827,24.8659,0.797038,0.00446304,0.0458688,0.00446304,0.175136,24.9363,0.800188,0.00444503,0.0455853,0.00444503
0.176382,24.9166,0.798712,0.00442129,0.0456252,0.00442129,0.173167,25.0358,0.802466,0.00439401,0.0452435,0.00439401
0.175105,24.9647,0.800186,0.00438016,0.0453869,0.00438015,0.172554,24.9927,0.803266,0.00441848,0.0456071,0.00441848
0.173714,25.0117,0.801799,0.00433915,0.0451576,0.00433915,0.171065,25.1411,0.804885,0.00432673,0.0448014,0.00432673
0.172572,25.0527,0.80312,0.0043025,0.0449569,0.00430249,0.169377,25.034,0.80694,0.00429999,0.045041,0.00429999
0.171431,25.0914,0.804446,0.00427017,0.0447834,0.00427018,0.16911,25.1383,0.807179,0.00424617,0.0446306,0.00424617
0.170355,25.1282,0.805693,0.0042367,0.0446024,0.0042367,0.167917,25.1253,0.8086,0.00423246,0.0446324,0.00423246
0.167953,25.2004,0.808491,0.00417612,0.0442864,0.00417612,0.166668,25.3318,0.80997,0.00419328,0.0440179,0.00419328
0.166032,25.2638,0.810725,0.0041274,0.0440086,0.0041274,0.163927,25.3379,0.813202,0.00411761,0.0438499,0.00411761
0.164503,25.3055,0.812506,0.00409111,0.0438078,0.00409111,0.161872,25.4677,0.815547,0.00410404,0.0433228,0.00410404
0.162781,25.3619,0.814504,0.00404466,0.0435314,0.00404466,0.159571,25.503,0.818247,0.00403744,0.0431169,0.00403744
0.160877,25.4312,0.816711,0.00399427,0.04321,0.00399427,0.165963,25.4417,0.8107,0.00421962,0.0434423,0.00421962
0.159457,25.478,0.818358,0.00395974,0.0429852,0.00395974,0.156006,25.541,0.822436,0.00392623,0.0428257,0.00392623
0.158187,25.5166,0.819835,0.00392765,0.0427969,0.00392765,0.156804,25.354,0.821643,0.00398558,0.043649,0.00398558
0.157181,25.5606,0.820994,0.00389908,0.0425953,0.00389908,0.153886,25.5215,0.824964,0.00391179,0.0428476,0.00391179
0.156059,25.5932,0.822297,0.00387094,0.0424282,0.00387094,0.155188,25.5981,0.823359,0.00388383,0.0425585,0.00388383
0.155046,25.6324,0.823467,0.00384292,0.0422395,0.00384292,0.154387,25.6762,0.824239,0.00388079,0.0421756,0.00388079
0.154261,25.6569,0.824379,0.00382336,0.0421208,0.00382336,0.15515,25.5686,0.823412,0.00394724,0.042607,0.00394724
0.153528,25.6788,0.825231,0.00380479,0.0420093,0.0038048,0.149908,25.7764,0.829493,0.00377829,0.0417685,0.00377829
0.152628,25.7045,0.826277,0.00378303,0.0418753,0.00378303,0.150056,25.8025,0.829297,0.00377126,0.0416556,0.00377126
0.152091,25.727,0.826894,0.00376713,0.0417668,0.00376714,0.149413,25.7772,0.830084,0.00379503,0.0417746,0.00379503
0.151812,25.7325,0.827224,0.00376334,0.04175,0.00376334,0.152798,25.369,0.826387,0.00394255,0.0435242,0.00394255
0.151076,25.7634,0.828069,0.00374002,0.0415882,0.00374002,0.148592,25.7414,0.831084,0.00375046,0.0418905,0.00375046
0.150713,25.7727,0.828493,0.00373351,0.0415471,0.00373351,0.14736,25.8528,0.832441,0.00371042,0.041311,0.00371042
0.149845,25.7996,0.829498,0.00370896,0.0413997,0.00370896,0.148687,25.8556,0.830905,0.00375696,0.041549,0.00375696
0.149408,25.8159,0.830004,0.00369564,0.0413174,0.00369564,0.146511,25.836,0.833462,0.00369432,0.0413706,0.00369432
0.149161,25.8265,0.830288,0.00368946,0.0412668,0.00368946,0.147926,25.9611,0.8317,0.00372017,0.0409596,0.00372017
0.148745,25.8381,0.830773,0.00367999,0.0412129,0.00367999,0.146487,25.8066,0.833524,0.00369137,0.0415445,0.00369137
0.148292,25.8581,0.831293,0.00366549,0.0411108,0.00366549,0.146225,25.8417,0.833801,0.00367696,0.0413652,0.00367696
0.148032,25.8597,0.831599,0.00366011,0.041092,0.0036601,0.150749,25.984,0.828325,0.00376479,0.0408864,0.00376479
0.14783,25.8759,0.831825,0.00365089,0.0410193,0.00365089,0.144732,25.958,0.835474,0.00363338,0.0408142,0.00363338
0.147268,25.8908,0.83248,0.00363795,0.0409425,0.00363795,0.144388,25.9822,0.835854,0.00362545,0.0406595,0.00362545
0.146937,25.9034,0.832862,0.00362764,0.0408847,0.00362764,0.148601,26.0112,0.830893,0.00375633,0.0409437,0.00375633
0.14674,25.9052,0.833093,0.00362359,0.0408594,0.00362359,0.144386,26.0226,0.83585,0.00361418,0.0406252,0.00361418
0.146278,25.921,0.833629,0.00361123,0.0407878,0.00361123,0.145208,25.7426,0.835059,0.00368297,0.0416111,0.00368297
0.146244,25.9206,0.833671,0.00361251,0.0407954,0.00361252,0.144423,25.889,0.835861,0.00361301,0.0409155,0.00361301
0.145759,25.9383,0.83423,0.00359781,0.0406977,0.00359781,0.142985,25.9497,0.837533,0.00358729,0.0407066,0.00358729
0.145593,25.9456,0.834421,0.00359258,0.0406683,0.00359259,0.144079,25.85,0.836324,0.00363311,0.0411973,0.00363311
0.145426,25.9507,0.834614,0.00358776,0.0406335,0.00358776,0.143005,26.014,0.837464,0.00356366,0.0404714,0.00356366
