MIX,PSNR,SSIM,loss,mean_absolute_error,mean_squared_error,val_MIX,val_PSNR,val_SSIM,val_loss,val_mean_absolute_error,val_mean_squared_error
0.448152,15.7838,0.493676,0.506324,0.142747,0.0343863,0.270594,18.7157,0.695179,0.304821,0.0909048,0.0151456
0.256094,19.2865,0.71113,0.28887,0.0840186,0.0134142,0.235331,19.764,0.734636,0.265364,0.0776591,0.0118859
0.233143,19.9157,0.736915,0.263085,0.075947,0.0115934,0.221978,20.0721,0.749798,0.250202,0.0738027,0.0112378
0.223656,20.0717,0.747859,0.252141,0.0741075,0.0111864,0.214725,20.1116,0.758291,0.241709,0.0730596,0.0111048
0.21708,20.1946,0.755409,0.244591,0.0726461,0.010908,0.208755,20.3423,0.765018,0.234982,0.0710634,0.0105809
0.211594,20.3153,0.761706,0.238294,0.0714159,0.0106341,0.203773,20.408,0.77082,0.22918,0.0703863,0.0104683
0.206593,20.4581,0.767412,0.232588,0.0701178,0.0103095,0.198073,20.5501,0.777401,0.222599,0.0693127,0.01008
0.200848,20.5907,0.774017,0.225983,0.0688917,0.0100078,0.19389,20.5844,0.782181,0.217819,0.0682654,0.0100219
0.196705,20.7271,0.778735,0.221265,0.0677645,0.00972271,0.188918,20.8716,0.787837,0.212162,0.0668849,0.00935698
0.192769,20.9134,0.783185,0.216815,0.0665311,0.00933637,0.185063,21.1573,0.791817,0.208183,0.063683,0.00902695
0.188812,21.1946,0.787474,0.212526,0.0643107,0.00881758,0.181306,21.3363,0.796254,0.203746,0.063499,0.00850969
0.185461,21.3984,0.791201,0.208799,0.0629333,0.00842864,0.178233,21.6883,0.799423,0.200578,0.0609245,0.00799908
0.183217,21.5785,0.793665,0.206336,0.0618455,0.00809745,0.180734,21.4097,0.796992,0.203008,0.063791,0.00818649
0.180844,21.6906,0.796379,0.203621,0.0612628,0.00788478,0.179428,21.593,0.79821,0.20179,0.0620296,0.00793545
0.179747,21.7985,0.797578,0.202423,0.0607005,0.00768118,0.175506,21.8928,0.80258,0.19742,0.0604599,0.00756233
0.177954,21.9391,0.799564,0.200436,0.0599202,0.00744997,0.171884,22.0562,0.806565,0.193435,0.0587402,0.0072877
0.176448,22.0549,0.801219,0.198781,0.0591971,0.00725984,0.173792,22.0558,0.804389,0.195611,0.0592421,0.00725756
0.175715,22.1485,0.802002,0.197998,0.0587298,0.00712039,0.169738,22.1949,0.80895,0.19105,0.0578515,0.00704807
0.173876,22.2697,0.804037,0.195963,0.0579179,0.00692712,0.169355,22.2289,0.809472,0.190528,0.0581948,0.00692046
0.173136,22.3582,0.804838,0.195162,0.057495,0.00679076,0.169504,22.546,0.808892,0.191108,0.0560799,0.00661464
0.172642,22.4257,0.805367,0.194633,0.0571903,0.00668939,0.166121,22.6662,0.8128,0.1872,0.0554536,0.00643585
0.17082,22.5185,0.807441,0.192559,0.0566871,0.00654976,0.167452,22.5334,0.811408,0.188592,0.0564654,0.0065051
0.1708,22.593,0.8074,0.1926,0.0563504,0.00645082,0.167854,22.6742,0.810786,0.189214,0.055715,0.00632835
0.169557,22.6436,0.808827,0.191173,0.0560767,0.00637992,0.164098,22.805,0.815102,0.184898,0.0548954,0.00616538
0.169078,22.7167,0.809332,0.190668,0.0557315,0.00627682,0.163987,22.6927,0.815463,0.184537,0.0561014,0.00620572
0.168595,22.7715,0.80987,0.19013,0.0555394,0.00620676,0.162552,22.8926,0.816914,0.183086,0.054748,0.00602704
0.167541,22.8385,0.811063,0.188937,0.0552127,0.00612347,0.161184,22.9667,0.818464,0.181536,0.0543321,0.00596542
0.167524,22.8264,0.811133,0.188867,0.0554728,0.00613263,0.161,23.0334,0.818605,0.181395,0.0539275,0.0059216
0.167211,22.8986,0.811421,0.18858,0.0550241,0.00604875,0.160473,23.0737,0.819212,0.180788,0.0538206,0.00585077
