loss,val_loss,mean_squared_error,mean_absolute_error,binary_crossentropy,categorical_crossentropy
-15.2938,-20.6798,0.0871463,0.156745,1.0932,
-23.7402,-26.4763,0.00515623,0.046216,0.563063,1.55229
-27.154,-27.5564,0.00234376,0.0323998,0.554042,1.54504
-27.6702,-27.9108,0.00215042,0.0305951,0.55302,1.54372
-27.9701,-28.1461,0.00206419,0.0296638,0.552469,1.54298
-28.1904,-28.3894,0.00201414,0.0291046,0.552102,1.54247
-28.3835,-28.5686,0.00198111,0.0286071,0.551798,1.54207
-28.514,-28.7084,0.00196632,0.0283944,0.551644,1.5418
-28.6632,-28.8467,0.00195323,0.0280362,0.551436,1.54155
-28.7412,-28.8921,0.00196165,0.0280388,0.55138,1.54137
-28.8353,-29.0309,0.0019581,0.0278935,0.551306,1.54125
-28.9484,-29.1214,0.00196711,0.0276966,0.551186,1.5411
-28.9966,-29.1859,0.00197999,0.0277721,0.551193,1.54101
-28.9197,-29.2358,0.0020042,0.0282293,0.551363,1.54101
-29.1395,-29.2854,0.00198822,0.0275786,0.551107,1.54089
-29.0828,-29.2524,0.00201278,0.0279991,0.551271,1.54088
-29.2269,-29.4014,0.00200916,0.0276285,0.551109,1.5408
-29.2109,-29.4458,0.00202348,0.0278186,0.551178,1.54079
-29.2747,-29.4736,0.00202986,0.0277591,0.551163,1.54075
-29.3308,-29.4701,0.00203492,0.0277218,0.551146,1.54073
-29.3743,-29.5339,0.00203942,0.0276964,0.551139,1.5407
-29.1428,-29.5989,0.00206536,0.0284191,0.551442,1.54079
-29.3753,-29.5266,0.00204374,0.0277877,0.551176,1.54069
-29.4265,-29.6216,0.00205117,0.0277663,0.551167,1.54067
-29.4675,-29.4331,0.00205671,0.0277431,0.551169,1.54066
-29.3506,-29.6934,0.0020571,0.0280476,0.551283,1.54069
-29.4351,-29.4758,0.00205763,0.027881,0.551211,1.54066
-29.5337,-29.7646,0.002056,0.027685,0.551149,1.54064
-29.6117,-29.6455,0.00206259,0.027598,0.551116,1.54061
-29.4871,-29.5274,0.00207112,0.0279486,0.551264,1.54064
-29.2868,-29.6547,0.00207827,0.0283916,0.551406,1.54069
-29.6143,-29.8384,0.00206084,0.0276652,0.551141,1.54061
-29.6666,-29.8284,0.0020684,0.0276395,0.551136,1.5406
-29.4638,-29.663,0.00207615,0.0281165,0.551306,1.54063
-29.7128,-29.8696,0.0020674,0.0275942,0.55112,1.54059
-29.7228,-29.9263,0.00207358,0.0276398,0.551142,1.54058
-29.7405,-29.8846,0.00207697,0.0276581,0.551145,1.54058
-29.6329,-29.5455,0.00208162,0.0278978,0.551232,1.54059
